speaker,original_jp,original_en,translated,scene,scene_line,resource,message_id,also_shown_in,notes
Silmeria,（ あそこよ ）,( It's over there. ),,1,1,1219,1,,
Silmeria,（ ディパン王家が遠い昔に作った秘〓の地下道よ ）,"( A hidden underground passage built by
Dipan's royal family long ago... )","",1,2,1219,2,,
Silmeria,（ <PART> ―― <PART> 多くの犠牲を払ってね ）,( At the cost of countless lives. ),,1,3,1219,22,,
Alicia,…そのようです,It seems that way.,,1,4,1219,3,,
Rufus,そのようって…,"What do you mean, ""seems""?","",1,5,1219,4,,
Rufus,俺を騙してるんじゃないだろうな？,Is there something you're not telling me?,,1,6,1219,5,,
Silmeria,（ 放っておきなさい ）,( Don't tell him. ),,1,7,1219,14,,
Rufus,聞いてるのかッ！？,Are you listening to me?,,1,8,1219,6,,
Silmeria,エインフェリアよ <PART> ――,My einherjar!,,1,9,1219,7,1223,
Silmeria,今しばらくミッドガルドのために共に戦ってはくれぬか？,"Come now to fight alongside me for
the sake of Midgard!","",1,10,1219,8,,
Silmeria,話はわかっていよう…,You know of what I speak.,,1,11,1219,9,,
Einherjar C,（ 俺も外へ出してくれ！いくらでも戦ってやるぜ！ ）,"( Let me out, too!
I'll fight all you want! )","",1,12,1219,10,,
Einherjar B,（ わしもだ！ ）,( Same for me! ),,1,13,1219,11,,
Einherjar A,（ 私だって！ ）,"( I, as well! )",,1,14,1219,12,,
Silmeria,静まりなさい！,Be silent!,,1,15,1219,13,,
Silmeria,時が来れば いずれあなた達にも力を惜りる事になろう <PART> ――,"There will come a time when each of
your powers are needed.","",1,16,1219,17,,
Rufus,あんた まさか…,I don't believe it...,,1,17,1219,18,,
Rufus,！,...!,,1,18,1219,15,1195 1233 1243 1275 1287 1305 1307,
Rufus,ここから歩いてディパンヘ渡れるのか？,"So this will take us all the way to Dipan, huh?","",1,19,1219,19,,
Rufus,……！,...!,,1,20,1219,20,,
Alicia,…先を急ぎましょう,We should keep pushing on.,,1,21,1219,21,,
Silmeria,何かあれば呼ぶからそれまでここにいてちょうだい,"I'll call for you. Until then,
wait in here.","",1,22,1219,23,,
,ディラン <PART> が仲間に加わりました,Dylan <PART> has joined the party.,,2,1,1219,2758,81 89 109 1009 1155 1165 1181 1195 1199 1201 1203 1205 1207 1209 1211 1213 1215 1217 1221 1223 1225 1227 1231 1233 1235 1237 1239 1245 1247 1251 1253 1255 1257 1261 1263 1265 1267 1269 1271 1273 1275 1277 1279 1281 1283 1285 1287 1289 1291 1293 1295 1297 1299 1301 1303 1305 1307 1309 1311 1313 1315 1317 1321 1323 1335 1337 1345 1351 1353 1357 1387,
,レザード <PART> が仲間に加わりました,Lezard <PART> has joined the party.,,2,2,1219,2759,81 89 109 1009 1155 1165 1181 1195 1199 1201 1203 1205 1207 1209 1211 1213 1215 1217 1221 1223 1225 1227 1231 1233 1235 1237 1239 1245 1247 1251 1253 1255 1257 1261 1263 1265 1267 1269 1271 1273 1275 1277 1279 1281 1283 1285 1287 1289 1291 1293 1295 1297 1299 1301 1303 1305 1307 1309 1311 1313 1315 1317 1321 1323 1335 1337 1341 1351 1353 1357 1387,
,レオーネ <PART> が仲間に加わりました,Leone <PART> has joined the party.,,2,3,1219,2760,81 89 109 1009 1155 1165 1181 1195 1199 1201 1203 1205 1207 1209 1211 1213 1215 1217 1221 1223 1225 1227 1231 1233 1235 1237 1239 1245 1247 1251 1253 1255 1257 1261 1263 1265 1267 1269 1271 1273 1275 1277 1279 1281 1283 1285 1287 1289 1291 1293 1295 1297 1299 1301 1303 1305 1307 1309 1311 1313 1315 1317 1321 1323 1335 1337 1345 1351 1353 1357 1387,
,アリューゼ <PART> が仲間に加わりました,Arngrim <PART> has joined the party.,,2,4,1219,2761,81 89 109 1009 1155 1165 1181 1195 1199 1201 1203 1205 1207 1209 1211 1213 1215 1217 1221 1223 1225 1227 1231 1233 1235 1237 1239 1245 1247 1251 1253 1255 1257 1261 1263 1265 1267 1269 1271 1273 1275 1277 1279 1281 1283 1285 1287 1289 1291 1293 1295 1297 1299 1301 1303 1305 1307 1309 1311 1313 1315 1317 1321 1323 1335 1337 1351 1353 1357 1387,
,ミトラ <PART> が仲間に加わりました,Mithra <PART> has joined the party.,,2,5,1219,2762,81 89 109 167 173 189 233 243 253 255 273 283 313 319 339 361 371 565 579 599 1009 1155 1165 1179 1181 1191 1195 1199 1201 1203 1205 1207 1209 1211 1213 1215 1217 1221 1223 1225 1227 1231 1233 1235 1237 1239 1245 1247 1251 1253 1255 1257 1261 1263 1265 1267 1269 1271 1273 1275 1277 1279 1281 1283 1285 1287 1289 1291 1293 1295 1297 1299 1301 1303 1305 1307 1309 1311 1313 1315 1317 1321 1323 1335 1337 1351 1353 1357 1387,
