speaker,original_jp,original_en,translated,scene,scene_line,resource,message_id,also_shown_in,notes
Dog Rufus,これが…神の力…,The power of the gods.,,1,1,1369,2740,,
Dog Odin,わけても貴様にはな！！,Especially you!,,1,2,1369,2752,,
Dog Rufus,感じる…,I feel it.,,1,3,1369,2741,,
Dog Rufus,どわっ！,D'oh!,,1,4,1369,2743,,
Dog Odin,何人たりともそれに〓れる事は許さん！,None shall lay hands upon it!,,1,5,1369,2742,,
Dog Freya,オーディン様！,Lord Odin!,,1,6,1369,2744,,
Dog Freya,あの者達こそ歪んだ〓〓！,"The perversion I felt...
It's those two!",,1,7,1369,2745,,
Dog Odin,〓の貴様！,You green twit!,,1,8,1369,2746,,
Dog Odin,そっちの小娘！,"And you, you little wench!",,1,9,1369,2747,,
Dog Odin,器の分際でおなごとチ〓メチ〓メ！〓〓にも程があるっつーの！,"A lowly vessel trying to get it on
with a chick like that!? Arrogance!",,1,10,1369,2748,,
Dog Odin,えせ不死者がミニスカふりふり〓顔極まりないっつーの！,"Undead imposter flouncing around in a miniskirt!
Where is your shame?",,1,11,1369,2749,,
Dog Odin,むっちん求デーに離脱して男を騙してここまで来ましたってか！,"Using men and sneaking up here
with that plump astral body?",,1,12,1369,2750,,
Dog Odin,貴様等…まさか超えてはならぬ一〓を超え…,"Damn you!
You've crossed the line of decency!",,1,13,1369,2751,,
Dog Lezard,やっと追いつきました…,I've finally found you...,,1,14,1369,2753,,
Dog Lezard,〓送方陣に失敗し長らく独り ツ求にはまっておりました…,"After my teleportation spell failed,
I sorta forgot about you guys for a while...",,1,15,1369,2754,,
Dog Odin,………,...,,1,16,1369,2755,1359 1363,
,イベントマップ,EVENT_MAP,,2,1,1369,2756,1195 1199 1201 1203 1205 1207 1209 1211 1213 1215 1217 1219 1221 1223 1225 1227 1231 1233 1235 1237 1239 1245 1247 1251 1253 1255 1257 1261 1263 1265 1267 1269 1271 1273 1275 1277 1279 1281 1283 1285 1287 1289 1291 1293 1295 1297 1299 1301 1303 1305 1307 1309 1311 1313 1315 1317 1321 1323 1325 1335 1337 1339 1341 1343 1345 1347 1351 1353 1357 1359 1361 1363 1365 1367 1371 1375 1377 1379 1387 1389,not displayed by the event script
,犬ルーファス,Dog Rufus,,2,2,1369,2757,1311 1361 1365 1367 1375 1377,not displayed by the event script
,犬オーディン,Dog Odin,,2,3,1369,2758,1377,not displayed by the event script
,犬フレイ,Dog Freya,,2,4,1369,2759,1343,not displayed by the event script
,犬レザード,Dog Lezard,,2,5,1369,2760,1367 1377 1379,not displayed by the event script
