speaker,original_jp,original_en,translated,scene,scene_line,resource,message_id,also_shown_in,notes
Dog Alicia,だって 私の幸運のお守りだもの…,That's because it's my good luck charm.,,1,1,1361,1645,1311,
Dog Rufus,不思議だな…,Strange...,,1,2,1361,1643,1311,
Dog Rufus,ブカブカなのに少し似合って見えてきたぜ,"It's still too big, but it doesn't look
so silly anymore.",,1,3,1361,1644,1311,
Alicia,ブカブカだから,But it's way too big.,,1,4,1361,1647,1311,
Alicia,似合ってないわよ,It looks silly.,,1,5,1361,1648,1311,
Rufus,御利〓バッチリだったな？,I guess they can't argue with that.,,1,6,1361,1646,1311,
,イベントマップ,EVENT_MAP,,2,1,1361,1649,1195 1199 1201 1203 1205 1207 1209 1211 1213 1215 1217 1219 1221 1223 1225 1227 1231 1233 1235 1237 1239 1245 1247 1251 1253 1255 1257 1261 1263 1265 1267 1269 1271 1273 1275 1277 1279 1281 1283 1285 1287 1289 1291 1293 1295 1297 1299 1301 1303 1305 1307 1309 1311 1313 1315 1317 1321 1323 1325 1335 1337 1339 1341 1343 1345 1347 1351 1353 1357 1359 1363 1365 1367 1369 1371 1375 1377 1379 1387 1389,not displayed by the event script
,犬アリーシャ,Dog Alicia,,2,2,1361,2741,1311 1359 1367,not displayed by the event script
,犬ルーファス,Dog Rufus,,2,3,1361,2742,1311 1365 1367 1369 1375 1377,not displayed by the event script
,アリーシャ,Alicia,,2,4,1361,2743,1149 1195 1199 1201 1203 1209 1211 1213 1217 1219 1221 1227 1231 1233 1237 1239 1245 1247 1251 1253 1255 1261 1263 1269 1277 1281 1283 1287 1289 1291 1295 1303 1305 1307 1309 1311 1313 1317 1321 1335 1339 1341 1345 1347 1357 1359 1363 1365,not displayed by the event script
,ルーファス,Rufus,,2,5,1361,2744,901 1195 1199 1201 1203 1209 1211 1213 1217 1219 1221 1223 1227 1231 1233 1235 1237 1239 1245 1247 1251 1253 1255 1261 1275 1277 1281 1283 1285 1287 1289 1291 1295 1297 1303 1305 1307 1309 1311 1313 1315 1317 1321 1323 1325 1335 1337 1351 1357 1359 1367 1389,not displayed by the event script
