speaker,original_jp,original_en,translated,scene,scene_line,resource,message_id,also_shown_in,notes
,ERROR！！（v190）,ERROR!!(v190),,1,1,253,31,39 47 49 81 83 87 89 101 103 109 111 113 135 139 167 173 189 197 233 243 255 265 273 283 313 319 339 361 371 423 557 565 571 579 589 599 1009 1155 1159 1165 1179 1181 1183 1191 1195 1199 1201 1203 1205 1207 1209 1211 1213 1215 1217 1219 1221 1223 1225 1227 1231 1233 1235 1237 1239 1245 1247 1251 1253 1255 1257 1261 1263 1265 1267 1269 1271 1273 1275 1277 1279 1281 1283 1285 1287 1289 1291 1293 1295 1297 1299 1301 1303 1305 1307 1309 1311 1313 1315 1317 1321 1323 1335 1337 1351 1353 1357 1387,
,ERROR！！（v192）,ERROR!!(v192),,1,2,253,34,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,ERROR！！（v191）,ERROR!!(v191),,1,3,253,35,39 47 49 81 83 87 89 101 103 109 111 113 135 139 167 173 189 197 233 243 255 265 273 283 313 319 339 361 371 423 557 565 571 579 589 599 1009 1155 1159 1165 1179 1181 1183 1191 1195 1199 1201 1203 1205 1207 1209 1211 1213 1215 1217 1219 1221 1223 1225 1227 1231 1233 1235 1237 1239 1245 1247 1251 1253 1255 1257 1261 1263 1265 1267 1269 1271 1273 1275 1277 1279 1281 1283 1285 1287 1289 1291 1293 1295 1297 1299 1301 1303 1305 1307 1309 1311 1313 1315 1317 1321 1323 1335 1337 1351 1353 1357 1387,
,ルイン <PART> が仲間に加わりました,Lwyn <PART> has joined the party.,,1,4,253,414,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,ジェシカ <PART> が仲間に加わりました,Jessica <PART> has joined the party.,,1,5,253,415,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,リシェル <PART> が仲間に加わりました,Richelle <PART> has joined the party.,,1,6,253,416,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,フローディア <PART> が仲間に加わりました,Fraudir <PART> has joined the party.,,1,7,253,417,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,セレス <PART> が仲間に加わりました,Celes <PART> has joined the party.,,1,8,253,418,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,クレセント <PART> が仲間に加わりました,Crescent <PART> has joined the party.,,1,9,253,419,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,シルフィード <PART> が仲間に加わりました,Sylphide <PART> has joined the party.,,1,10,253,420,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,ティリス <PART> が仲間に加わりました,Tyrith <PART> has joined the party.,,1,11,253,421,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,キルケ <PART> が仲間に加わりました,Circe <PART> has joined the party.,,1,12,253,422,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,ラシーカ <PART> が仲間に加わりました,Rasheeka <PART> has joined the party.,,1,13,253,423,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,ファルクス <PART> が仲間に加わりました,Falx <PART> has joined the party.,,1,14,253,424,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,ジェラルド <PART> が仲間に加わりました,Gerald <PART> has joined the party.,,1,15,253,425,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,ギルム <PART> が仲間に加わりました,Guilm <PART> has joined the party.,,1,16,253,426,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,ローランド <PART> が仲間に加わりました,Roland <PART> has joined the party.,,1,17,253,427,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,エーレン <PART> が仲間に加わりました,Ehlen <PART> has joined the party.,,1,18,253,428,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,アドニス <PART> が仲間に加わりました,Adonis <PART> has joined the party.,,1,19,253,429,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,アーロン <PART> が仲間に加わりました,Aaron <PART> has joined the party.,,1,20,253,430,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,ディーン <PART> が仲間に加わりました,Dyn <PART> has joined the party.,,1,21,253,431,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,クラッド <PART> が仲間に加わりました,Kraad <PART> has joined the party.,,1,22,253,432,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,ザンデ <PART> が仲間に加わりました,Zunde <PART> has joined the party.,,1,23,253,433,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,アトレイシア <PART> が仲間に加わりました,Atrasia <PART> has joined the party.,,1,24,253,434,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,フィレス <PART> が仲間に加わりました,Phyress <PART> has joined the party.,,1,25,253,435,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,クリスティ <PART> が仲間に加わりました,Chrystie <PART> has joined the party.,,1,26,253,436,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,紗紺 <PART> が仲間に加わりました,Sha-kon <PART> has joined the party.,,1,27,253,437,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,リリア <PART> が仲間に加わりました,Lylia <PART> has joined the party.,,1,28,253,438,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,リディア <PART> が仲間に加わりました,Lydia <PART> has joined the party.,,1,29,253,439,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,ソファラ <PART> が仲間に加わりました,Sophalla <PART> has joined the party.,,1,30,253,440,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,ミリティア <PART> が仲間に加わりました,Millidia <PART> has joined the party.,,1,31,253,441,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,アルカナ <PART> が仲間に加わりました,Arcana <PART> has joined the party.,,1,32,253,442,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,エルド <PART> が仲間に加わりました,Ehrde <PART> has joined the party.,,1,33,253,443,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,ミトラ <PART> が仲間に加わりました,Mithra <PART> has joined the party.,,1,34,253,444,81 89 109 167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1009 1155 1165 1179 1181 1191 1195 1199 1201 1203 1205 1207 1209 1211 1213 1215 1217 1219 1221 1223 1225 1227 1231 1233 1235 1237 1239 1245 1247 1251 1253 1255 1257 1261 1263 1265 1267 1269 1271 1273 1275 1277 1279 1281 1283 1285 1287 1289 1291 1293 1295 1297 1299 1301 1303 1305 1307 1309 1311 1313 1315 1317 1321 1323 1335 1337 1351 1353 1357 1387,
,イージス <PART> が仲間に加わりました,Aegis <PART> has joined the party.,,1,35,253,445,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,ソロン <PART> が仲間に加わりました,Psoron <PART> has joined the party.,,1,36,253,446,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,カノン <PART> が仲間に加わりました,Khanon <PART> has joined the party.,,1,37,253,447,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,ファーラント <PART> が仲間に加わりました,Farant <PART> has joined the party.,,1,38,253,448,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,ゼノン <PART> が仲間に加わりました,Xehnon <PART> has joined the party.,,1,39,253,449,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,アルム <PART> が仲間に加わりました,Alm <PART> has joined the party.,,1,40,253,450,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,セルヴィア <PART> が仲間に加わりました,Seluvia <PART> has joined the party.,,1,41,253,451,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,魔智 <PART> が仲間に加わりました,Masato <PART> has joined the party.,,1,42,253,452,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
,ウォルター <PART> が仲間に加わりました,Woltar <PART> has joined the party.,,1,43,253,453,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Lwyn,やっと出番？ 待ちくたびれたわよ,Is it my turn now? I've waited an eternity.,,1,44,253,277,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Jessica,私でお役に立てるのならば喜んでお仕え致します,"If there's anyway I can serve you,
it would be my pleasure.",,1,45,253,278,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Richelle,命ある限り 貴方の〓とも槍ともなりましょう…,"As long as I live, you shall have my sword.",,1,46,253,279,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Fraudir,私の力が必要なのね？いいわ 手伝ってあげる,"So you need my strength, huh?
Alright, I guess I'll help you out.",,1,47,253,280,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Celes,この命は貴方のもの 戦えというのなら戦うわ,My life is yours. Your wish is my command.,,1,48,253,281,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Crescent,エーレン… エーレンはどこ？,Ehlen...where is Ehlen?,,1,49,253,282,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Sylphide,世界のためならば この命〓しくはありません,I'd give my life for peace in this world.,,1,50,253,283,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Tyrith,私の力 見せてあげるわ,I'll let you see just what I can do.,,1,51,253,284,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Circe,戦うの？ まあいいけど,You want me to fight? I don't really mind.,,1,52,253,285,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Rasheeka,私で良ければ 力を〓すわ,"If you find me worthy, I will help you.",,1,53,253,286,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Falx,いいぜ 手を〓してやるよ,"Sure, I'll lend you a hand.",,1,54,253,287,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Gerald,蘇りし我が力 貴方のために使いましょう,I shall use my powers to serve you.,,1,55,253,288,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Guilm,ディパンの王女のためならば今一度この剣を振るいましょう,"I will gladly take up arms,
if the princess of Dipan so desires.",,1,56,253,289,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Roland,安心しろ 後は俺が何とかする,"Don't worry, just leave it to me.",,1,57,253,290,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Ehlen,私の力が貴方の役に立つというのであれば,"If I can help, then by all means, I will.",,1,58,253,291,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Adonis,ふん！ やっと俺に頼る気になったか？,Hmph! It's about time you came!,,1,59,253,292,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Aaron,俺に守れるものがあるのならば…,It is my duty to protect.,,1,60,253,293,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Dyn,ミッドガルドの危機は俺が救う！,I will save Midgard from danger!,,1,61,253,294,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Kraad,久しぶりに 思い切り剣を振らせてもらうぜ,It's been a while since I last fought.,,1,62,253,295,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Zunde,よっしゃあ！ 出番来た来たー！,"Alright! My time to shine, baby!",,1,63,253,296,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Atrasia,神は嫌いだけど 貴方なら信じられる,"I despise the gods, but you I trust.",,1,64,253,297,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
Phyress,外に出すなら 若い姿でお願いね～,"I'll come out, but I better look young!",,1,65,253,298,167 173 189 233 243 255 273 283 313 319 339 361 371 565 579 599 1155 1179 1191,
