speaker,original_jp,original_en,translated,scene,scene_line,resource,message_id,also_shown_in,notes
Girl,海賊出ないなあ… せっかく港で待ってるのにもしかして もうどこかに行っちゃったのかな,"Where are the pirates? I came to see them!
I wonder if they've already gone.",,1,1,35,3,,
Sailor,安全が確認できない限り 船は出せないぜ港出る〓から撃〓されちゃ たまらねえからな <PART> ディパンのバルバロッサ王が何とか対策を〓じてくれればいいんだが…,"No departures until it's absolutely safe <PART> ---- <PART>
wouldn't want to be sunk right out of port. <PART>
---
It would be nice if King Barbarossa of
Dipan would do something about it, though.",,1,2,35,4,,
Sailor,まったく… ソルデで船乗りやって長いが海賊に船〓められるなんて初めてだぜ,"Unbelievable. I've sailed Solde a long time,
but I'd never been sunk by pirates until now!",,1,3,35,5,,
Girl,ねえねえ 海賊が出たっていうの聞いた？この辺で海賊なんて初めて！ <PART> カッコイイお兄さん？ それともオシサンかなあちょっと見てみたかったかも,"Hey, did you hear about the pirates?
First time we've seen 'em in these waters! <PART>
---
Part of me wants to find out if they're
super-cute guys or wrinkly old lechers.",,1,4,35,6,,
Girl,港で待ってれば 海賊見られるかなああ でも 海賊出たら船〓められちゃうのか…,"I might see the pirates if I sail near the
docks. Still, if they see me, I'm sunk.",,1,5,35,7,,
Townsperson,アンタも渡航〓望者か？ダメダメ 当分船は動かないってよ <PART> 何でも海賊が出て 船が焼き払われたらしいどうしても渡りたきゃ イカダでも作んな,"Are you waiting for the boats to sail?
Give up! Those ships aren't going anywhere. <PART>
---
I hear the pirates are burning ships.
If you really gotta go, try making a raft!",,1,6,35,8,,
Townsperson,まったく… こっちは食品を〓ってるんだ早く復航してくれないと〓品がダメになっちまう,"I'm stuck! My cargo is all foodstuffs. If
the ships don't sail soon, it'll all spoil.",,1,7,35,9,,
Townsperson,まったく 何て事してくれたんだろうねディパンへは船でしか行けないのに <PART> これじゃ〓売あがったりだよ！海賊なんて ロクなもんじゃないね,"They've really gone and done it this time!
The only way to reach Dipan is by boat. <PART>
---
My business is ruined!
Good-for-nothing pirates!",,1,8,35,10,,
Townsperson,海賊の襲撃といっても相手は一人だったらしいよ物も奪われなかったそうだし… 不思議だねえ,"Pirate raid? It was only one guy!
He didn't even take anything. Weird.",,1,9,35,11,,
Sailor,状況に進〓はまったく無しだせっかくヴィルノアの鉄〓を取り〓せたってのに <PART> それにしても 最近急激に鉄〓の注〓が〓えたな戦争でも始めるわけじゃあるまいし…,"I acquired all this steel from Villnore,
but the situation hasn't changed at all! <PART>
---
I've received lots of steel orders lately.
Well, it's not like they're starting a war.",,1,10,35,12,,
