speaker,original_jp,original_en,translated,scene,scene_line,resource,message_id,also_shown_in,notes
Store Clerk,いらっしゃいませ！ こう見えても武器には〓しいから 品揃えは期待してね,"Welcome! It may not look like much,
but we've got a great lineup here!",,1,1,129,2,,
Store Clerk,この〓の常連さんになってくれればお父さんが何か作ってくれると思うよ <PART> 他〓との違いはね 武器が揃ってる事！素材があれば凄く強い武器だって作れるんだから！,"If you become a regular customer,
Poppa might make you something. <PART>
---
Our shop has a lineup like nowhere else!
Bring materials and get great weapons!",,1,2,129,3,,
Store Clerk,ありがとうございました！また来てくれると嬉しいな,"Thanks a million!
See you again soon!",,1,3,129,4,,
,〓封雷の尾羽〓 <PART> サンダーホーク <PART> ： 尻尾,Thunder Hawk <PART> : Tail,,1,4,129,18,,
,〓風切羽〓 <PART> グリフォン <PART> ： 翼 <PART> エルブンホーク <PART> ： 翼,"Griffon <PART> : Wing
 <PART> Elven Hawk <PART> : Wing",,1,5,129,17,,
,〓スティールウイング〓 <PART> ライフスティーラー <PART> ： 羽 <PART> プリンスオブヘル <PART> ： 羽 <PART> アビシニアンデーモン <PART> ： 羽,"Life Stealer <PART> : Wing
 <PART> Prince of Hel <PART> : Wing
 <PART> Abyssinian Demon <PART> : Wing",,1,6,129,16,,
,〓羊の前歯〓 <PART> サテュロス <PART> ： 頭 <PART> ゴートマン <PART> ： 頭 <PART> バフォメット <PART> ： 頭,"Satyr <PART> : Head
 <PART> Goat Man <PART> : Head
 <PART> Baphomet <PART> : Head",,1,7,129,15,,
,〓ギブリスケイル〓 <PART> ボルトドラゴン <PART> ： 翼 <PART> ドラゴンバット <PART> ： 翼,"Bolt Dragon <PART> : Wing
 <PART> Dragon Bat <PART> : Wing",,1,8,129,14,,
,〓稲妻石〓 <PART> スケルタルアーミー <PART> ： 〓体 <PART> ディスガストシェル <PART> ： 頭,"Skeletal Army <PART> : Body
 <PART> Disgusting Shell <PART> : Head",,1,9,129,13,,
,外へ,Head outside,,2,1,129,1,39 41 43 45 47 49 51 63 65 67 69 71 73 75 83 85 87 93 95 97 99 101 103 109 111 113 115 127 131 133 135 137 139,not displayed by the event script
,読む,Read,,2,2,129,5,43 47 49 51 73 75 77 87 95 131,not displayed by the event script
,封雷の尾羽,Charged Tailfeather,,2,4,129,7,,not displayed by the event script
,風切羽,Wing Feather,,2,5,129,8,,not displayed by the event script
,スティールウイング,Steelwing,,2,6,129,9,,not displayed by the event script
,羊の前歯,Lamb's Tooth,,2,7,129,10,,not displayed by the event script
,ギブリスケイル,Ghibli Scales,,2,8,129,11,,not displayed by the event script
,稲妻石,Lightning Stone,,2,9,129,12,,not displayed by the event script
,クレルモンフェラン,Crell Monferaigne,,2,10,129,68,29 119 121 123 127 131 133 135 137 139,not displayed by the event script
,〓番,Store Clerk,,2,11,129,2808,67,not displayed by the event script
