speaker,original_jp,original_en,translated,scene,scene_line,resource,message_id,also_shown_in,notes
Elder,なあ 魔物が街付近に現れたって本当なのか？噂じゃト〓ルゲン〓山の方から来たって…,"Is it true monsters are appearing near town?
People say they came from Turgen Mine.","",1,1,99,3,,
Merchant,ト〓ルゲン〓山ってあれだろ？ 発〓中に魔物の〓を〓り当てちまったって言う… <PART> 街付近に〓りてきた魔物って多分その時のヤツ…だよな,"Turgen Mine? That's where they discovered
the monster lair while mining, right? <PART>
---
The monsters running amok now must be
the ones they found then...","",1,2,99,4,,
Townsperson,危〓だからって入り口封〓してそのままだったからなあ <PART> あの時 〓山ごと〓〓でぶっ〓ばしちまえば良かったんだ まあ今言っても仕方ねえが… <PART> ぎルドに報〓金出すよう これから掛け合って来るそうすりゃ物好きな〓〓者が何とかすんだろ,"They posted warnings, closed the entrance,
and that was that. <PART>
---
We probably should've blasted the whole mine
to bits. Hindsight is 20/20. <PART>
---
Our guild dues go toward a reward fund.
Let some adventurer do the dirty work!","",1,3,99,5,,
Elder,〓山の魔物を見たヤツの話だとでっかい虫みたいな形してたってんだが… <PART> 何でも 〓や剣でぶっ〓いてもケロっとしてたらしいぜ <PART> たいまつ振り回したら追い払えたって言うから火に弱いのかねぇ…？ <PART> とにかく これ以上被害がでかくなる前に正式に退治を頼んだ方がいいかもなぁ,"One guy who saw a monster in the mines
told me it was shaped like a giant bug! <PART>
---
They beat it with sticks and cut it with
swords, but all it did was spit goo. <PART>
---
They managed to drive it off with a torch,
so I suppose it's vulnerable to fire. <PART>
---
At any rate, we should have professionals
eliminate them before anyone else gets hurt.","",1,4,99,6,,
Elder,そういやこの間 ソルデ〓由でディパンから〓分と鉄の注〓があったな <PART> 軍備〓強中のクレルモンフェランからってのはいつもの事なんだが… ディパンねえ…,"Looking back, there sure were a heck of a
lot of steel orders to Dipan via Solde. <PART>
---
It's normal for Crell Monferaigne and their
military buildup, but unusual for Dipan...","",1,5,99,7,,
Elder,お 報〓金貫えたかい？あのオヤシ 〓苦しいけど良いヤツだろ？,"Did you claim your reward yet? The old man
can be overbearing, but he's a good guy.","",1,6,99,19,,
Merchant,しかし あんな所に魔物の〓ねえ…発見当時もおかしなもんだと思ったが… <PART> 案外 誰かが仕掛けたんじゃないのか？〓〓の利権を巡るその手の話はごまんとあるしな,"I thought it strange then, and still do now <PART> ---- <PART>
why would there be a monster lair there? <PART>
---
It's as if they were put there on purpose.
People do crazy things for mining rights...","",1,7,99,9,,
Merchant,ディパンからの〓出入がぱったり途絶えてね…手立てが無いんで 〓から暇つぶしってわけだ <PART> ソルデの奴等はバルバロッサ王に頼りきりで自分らで何とかしようとしねえし 困ったもんさ,"Nothing's being shipped into or out of Dipan.
Meanwhile, I'm stuck here killing time. <PART>
---
Solde's content to rely on Barbarossa,
but they're in for a rude awakening...","",1,8,99,10,,
Elder,ディパンほどの大国だ 例え襲撃を受けても滅多な事じゃやられないと思うが…,"I severely doubt a country of Dipan's
magnitude could fall to an attack.","",1,9,99,29,,
Merchant,行き過ぎた栄〓は滅びをもたらす…か…ディパンもおごりが過ぎたのさ,"Excessive prosperity invites destruction...
Well, Dipan was nice while it lasted!","",1,10,99,11,,
