original_jp,original_en,translated,occurrences,containers,notes
ねこのふん,Cat Poop,,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
しやぶった骨,Sucked Bone,,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
かじった靴,Chewed-up Shoes,,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ぼろぼろの布,Squalid Cloth,,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
いぬのふん,Dog Poop,,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ひよこのえさ,Chicken Feed,,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
野菜くず,Vegetable Debris,,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
貝殻入りのえさ,Clamshell Chum,,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
とりのふん,Bird Poop,,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
猫の指輪,Cat Ring,,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
犬の指輪,Dog Ring,,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
鳥の指輪,Bird Ring,,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ソロモンの指輪,Solomon's Ring,,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
両手持ち大剣の類〓。,A type of two-handed greatsword.,,6,container-0641.csv container-0644.csv container-0645.csv,
ページ,<8099>8<8099>9Page,<8099><0009><8099><000A>Página,6,container-0643.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv,
HP,HP,HP,6,container-0643.csv container-0646.csv container-0647.csv container-0649.csv container-0650.csv,
エイミングウィスプ,Aiming Wisp,,6,container-0647.csv container-0650.csv,
ウェザリングオーダー,Stony Decree,,6,container-0647.csv container-0650.csv,
ダブルウインド,Double Wind,,6,container-0647.csv container-0650.csv,
"光線状の誘導弾を放つ。
決め技ゲージ増加量：×Hit","Fires a bolt guided by a beam of light.
Increase to Special Attack gauge: 4 <0065> 3 Hits",,6,container-0647.csv container-0650.csv,
"敵の体を石化する魔法の矢。
決め技ゲージ増加量：×Hit","An enchanted arrow turns the enemy to stone.
Increase to Special Attack gauge: 9 <0065> 1 Hit",,6,container-0647.csv container-0650.csv,
ビフレスト,Bifrost,,6,container-0648.csv container-0652.csv container-0866.csv,
チェック用マップ,CHECK_MAP,,6,container-0648.csv container-0652.csv container-0866.csv,
デバッグ用マップ,DEBUG_MAP,,6,container-0648.csv container-0652.csv container-0866.csv,
RDM〓,RDM 1/2,,6,container-0648.csv container-0866.csv,
methの刻印,METH Seal,,5,container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
セカンドルーイン,Second Ruin,,5,container-0644.csv container-0647.csv container-0650.csv,
スカイハイエッジ,Sky-high Edge,,5,container-0644.csv container-0647.csv container-0650.csv,
,28,,5,container-0650.csv,
,25,,5,container-0650.csv,
アイテム,Items,Items,4,battle-menu-runtime.csv container-0643.csv,Battle UI block; Japanese decoded from SLPM-66419 runtime state
WEAPON,Weapon,Arma,4,battle-menu-runtime.csv container-0645.csv container-0649.csv container-0650.csv,Battle UI block; Japanese decoded from SLPM-66419 runtime state
はい,Yes,Sim,4,container-0641.csv container-0643.csv container-0866.csv,
名前〓,ABC,ABC,4,container-0641.csv container-0644.csv container-0645.csv container-0648.csv,
種類〓,Type,Tipo,4,container-0641.csv container-0644.csv container-0645.csv container-0648.csv,
名前〓に並び替えます,Arrange in alphabetical order.,Ordem alfabética.,4,container-0641.csv container-0644.csv container-0645.csv container-0648.csv,
武器防具屋,Armory,,4,container-0641.csv,
"ディパンやゾルデを中心としたミッドガルド北部の地図。
地域間の移動を〓略化できる。","A map of the north featuring Dipan and Solde in the center.
Enables shortcuts to destinations.",,4,container-0641.csv container-0644.csv container-0645.csv,
"ヴィルノアを中心としたミッドガルド西部の地図。
地域間の移動を〓略化できる。","A map of the west featuring Villnore in the center.
Enables shortcuts to destinations.",,4,container-0641.csv container-0644.csv container-0645.csv,
"クレルモンフェランを中心としたミッドガルド東部の地図。
地域間の移動を〓略化できる。","A map of the east featuring Crell Monferaigne in the center.
Enables shortcuts to destinations.",,4,container-0641.csv container-0644.csv container-0645.csv,
装備,Equip,Equip,4,container-0643.csv container-0645.csv,
〓はずす〓,(Remove),(Tirar),4,container-0645.csv container-0646.csv container-0647.csv container-0649.csv,
スクランブルアタック,Scramble Attack,Ataque Caótico,4,container-0645.csv container-0646.csv container-0647.csv container-0650.csv,
デュアルタスク,Dual Tusks,,4,container-0647.csv container-0650.csv,
スターダスト,Stardust,,4,container-0647.csv container-0650.csv,
ライジングウィスプ,Rising Wisp,,4,container-0647.csv container-0650.csv,
リストリクトディストーシヨン,Binding Distortion,,4,container-0647.csv container-0650.csv,
フレイムシュート,Flame Shot,,4,container-0647.csv container-0650.csv,
ウェイブモーシヨン,Wave Motion,,4,container-0647.csv container-0650.csv,
スロートシュート,Target Throat,,4,container-0647.csv container-0650.csv,
スリーウェイ,Three-way Attack,,4,container-0647.csv container-0650.csv,
フレークフラップ,Shrapnel Shatter,,4,container-0647.csv container-0650.csv,
ブラストキック,Blast Kick,,4,container-0647.csv container-0650.csv,
サンセットラスター,Sunset Luster,,4,container-0647.csv container-0650.csv,
アサルトステップ,Assault Step,,4,container-0647.csv container-0650.csv,
レイダウンソード,Descending Sword,,4,container-0647.csv container-0650.csv,
オーバースピン,Overspin,,4,container-0647.csv container-0650.csv,
ミスティファントム,Mist Phantom,,4,container-0647.csv container-0650.csv,
サプライズスロー,Sneaky Throw,,4,container-0647.csv container-0650.csv,
ソウルピアシング,Soul Pierce,,4,container-0647.csv container-0650.csv,
サイドスイングカット,Sideswiper,,4,container-0647.csv container-0650.csv,
カッティングエッジ,Cutting Edge,,4,container-0647.csv container-0650.csv,
インプライリアクト,Imperious Act,,4,container-0647.csv container-0650.csv,
スパイラルピアス,Spiral Pierce,,4,container-0647.csv container-0650.csv,
ガストウインドウ,Gale Winds,,4,container-0647.csv container-0650.csv,
ターンアラウンド,Turnaround,,4,container-0647.csv container-0650.csv,
クロスラッシュ,Cross Slash,,4,container-0647.csv container-0650.csv,
ミラージュピアス,Mirage Pierce,,4,container-0647.csv container-0650.csv,
ディープインパクト,Deep Impact,,4,container-0647.csv container-0650.csv,
"高速で放つ神速の射。
決め技ゲージ増加量：×Hit","Launches twin bolts of godspeed at great velocity.
Increase to Special Attack gauge: 6 <0065> 2 Hits",,4,container-0647.csv container-0650.csv,
"星の光を乗せた衝撃波を放つ。
決め技ゲージ増加量：×Hit","Fires shockwave bearing the light of stars.
Increase to Special Attack gauge: 3 <0065> 4 Hits",,4,container-0647.csv container-0650.csv,
"空間の歪みで敵を拘束する。
決め技ゲージ増加量：×Hit数","Ensnares enemy in a distortion of space itself.
Increase to Special Attack gauge: 3 <0065> Number of Hits",,4,container-0647.csv container-0650.csv,
"命中すると爆発する矢を放つ。
決め技ゲージ増加量：×Hit","Launches an arrow that explodes when it strikes home.
Increase to Special Attack gauge: 16 <0065> 1 Hit",,4,container-0647.csv container-0650.csv,
"収束させた力を解放する。
決め技ゲージ増加量：×Hit","Unleashes focused energy.
Increase to Special Attack gauge: 9 <0065> 2 Hits",,4,container-0647.csv container-0650.csv,
