original_jp,original_en,translated,occurrences,containers,notes
経験値×,Experience x 2,,2,container-0648.csv container-0866.csv,
経験値を全員に,Experience for All,,2,container-0648.csv container-0866.csv,
光子反射,Reflect Photons +4,,2,container-0648.csv container-0866.csv,
光子でピラー破壊,Photons Break Pillars,,2,container-0648.csv container-0866.csv,
光子散弾発射,Photons Scatter,,2,container-0648.csv container-0866.csv,
絶対先制,Guaranteed Initiative,,2,container-0648.csv container-0866.csv,
質量増加,Increased Mass,,2,container-0648.csv container-0866.csv,
質量低下,Decreased Mass,,2,container-0648.csv container-0866.csv,
落下速度低下,Slower Fall,,2,container-0648.csv container-0866.csv,
炎攻撃力×.,Fire Attack 150%,,2,container-0648.csv container-0866.csv,
氷攻撃力×.,Ice Attack 150%,,2,container-0648.csv container-0866.csv,
土攻撃力〓,Earth Attack 1/2,,2,container-0648.csv container-0866.csv,
雷攻撃力〓,Lightning Attack 1/2,,2,container-0648.csv container-0866.csv,
炎属性化,Turn to Fire,,2,container-0648.csv container-0866.csv,
氷属性化,Turn to Ice,,2,container-0648.csv container-0866.csv,
土属性化,Turn to Earth,,2,container-0648.csv container-0866.csv,
雷属性化,Turn to Lightning,,2,container-0648.csv container-0866.csv,
聖属性化,Turn to Holy,,2,container-0648.csv container-0866.csv,
闇属性化,Turn to Dark,,2,container-0648.csv container-0866.csv,
属性抵抗A〓〓,No Tolerance,,2,container-0648.csv container-0866.csv,
魔法無効,Negate Magic,,2,container-0648.csv container-0866.csv,
RST〓,RST 1/2,,2,container-0648.csv container-0866.csv,
リバースダメージ,Reverse Damage,,2,container-0648.csv container-0866.csv,
時間でHP減少,Gradual HP Loss,,2,container-0648.csv container-0866.csv,
小ダメージ無効,Negate Light Damage,,2,container-0648.csv container-0866.csv,
HP回復効果×,HP Recovery 200%,,2,container-0648.csv container-0866.csv,
与ダメージ〓,Inflicted Damage 1/4,,2,container-0648.csv container-0866.csv,
属性抵抗全強化,All Tolerances Up,,2,container-0648.csv container-0866.csv,
吸血効果付与,HP Drain Enabled,,2,container-0648.csv container-0866.csv,
武器破壊率〓,Weapon Break 1/5,,2,container-0648.csv container-0866.csv,
ATK×,ATK 300%,,2,container-0648.csv container-0866.csv,
状態変化無効,No Status Change,,2,container-0648.csv container-0866.csv,
