original_jp,original_en,translated,occurrences,containers,notes
イベントマップ,EVENT_MAP,,297,container-0648.csv container-0652.csv container-0866.csv,
セラフィックゲート,Seraphic Gate,Portal Seráfico,204,container-0648.csv container-0652.csv container-0866.csv,
ヴァルハラ宮殿,Hall of Valhalla,Saguão de Valhalla,141,container-0648.csv container-0652.csv container-0866.csv,
奉竜殿,Palace of the Venerated Dragon,Palácio do Dragão Venerado,102,container-0648.csv container-0652.csv container-0866.csv,
狭間の洞窟,Ravine Caverns,Cavernas do Desfiladeiro,99,container-0648.csv container-0652.csv container-0866.csv,
ユグドラシル,Yggdrasil,Yggdrasil,90,container-0648.csv container-0652.csv container-0866.csv,
ディパン城,Dipan Castle,Castelo Dipan,87,container-0648.csv container-0652.csv container-0866.csv,
レザード・ヴァレスの塔,Tower of Lezard Valeth,Torre de Lezard Valeth,81,container-0648.csv container-0652.csv container-0866.csv,
封印石チュートリアル（設計図）,D_TUTORIAL1,,63,container-0648.csv container-0652.csv container-0866.csv,
王家の地下道,Royal Underground Path,Caminho Subterrâneo Real,57,container-0648.csv container-0652.csv container-0866.csv,
光子パズル（設計図）,D_PUZZLE,,51,container-0648.csv container-0652.csv container-0866.csv,
ディパン城下町,Dipan,Dipan,45,container-0648.csv container-0652.csv container-0866.csv,
スルス火山洞窟,Surts Volcano Caverns,Cavernas Vulcânicas de Surts,45,container-0648.csv container-0652.csv container-0866.csv,
,DUMMY,,42,container-0641.csv container-0644.csv container-0645.csv,
なし,None,N/A,40,container-0641.csv container-0644.csv container-0645.csv container-0646.csv container-0647.csv container-0648.csv container-0649.csv container-0650.csv,
蒼枯の森,Ancient Forest,Floresta Anciã,39,container-0648.csv container-0652.csv container-0866.csv,
セルドベルグ山岳遺跡,Serdberg Mountain Ruins,Ruínas Montanhosas de Serdberg,36,container-0648.csv container-0652.csv container-0866.csv,
クローサス森林遺跡,Crawsus Forest Ruins,Ruínas Florestais de Crawsus,36,container-0648.csv container-0652.csv container-0866.csv,
精霊の森,Forest of Spirits,Floresta dos Espíritos,36,container-0648.csv container-0652.csv container-0866.csv,
クレルモンフェラン,Crell Monferaigne,Crell Monferaigne,34,container-0641.csv container-0648.csv container-0652.csv container-0866.csv,
港町ゾルデ,Solde,Solde,30,container-0648.csv container-0652.csv container-0866.csv,
アウドゥーラ水上神殿,Audoula Temple on the Lake,Templo Audoula sob o Lago,30,container-0648.csv container-0652.csv container-0866.csv,
昏き妄執の館,Chateau Obsession,Mansão da Obsessão,27,container-0648.csv container-0652.csv container-0866.csv,
ヴィルノア,Villnore,Villnore,25,container-0641.csv container-0648.csv container-0652.csv container-0866.csv,
喪失の森,Lost Forest,Floresta Perdida,24,container-0648.csv container-0652.csv container-0866.csv,
トゥルゲン鉱山,Turgen Mine,Mina Turgen,24,container-0648.csv container-0652.csv container-0866.csv,
カルスタッド,Kalstad,Kalstad,21,container-0648.csv container-0652.csv container-0866.csv,
不明,Unknown,,21,container-0650.csv,
スカビア渓谷,Sukavia Gorge,Desfiladeiro de Sukavia,18,container-0648.csv container-0652.csv container-0866.csv,
コリアンドル村,Coriander,Coriander,15,container-0648.csv container-0652.csv container-0866.csv,
"キャンプ画面では説明は表示されません。
これが表示されたらバグですのでご報告お願いします。","Description should not appear in Camp Menu.
If you see this, please report it as a BUG!","Descição não deve aparecer no Menu de Campo.
Se você ver isto, por favor relate como um BUG!",12,container-0641.csv container-0644.csv container-0645.csv,
サーマ砂漠,Sahma Desert,Deserto Sahma,12,container-0648.csv container-0652.csv container-0866.csv,
キセナ草原,Kythena Plains,Planícies de Kythena,12,container-0648.csv container-0652.csv container-0866.csv,
アスガルド,Asgard,Asgard,12,container-0648.csv container-0652.csv container-0866.csv,
竜の墓場,Dragonscrypt,Cripta do Dragão,12,container-0648.csv container-0652.csv container-0866.csv,
弓闘士,Archer,Arqueiro,11,container-0650.csv,
LV,LV,NV,10,container-0643.csv container-0646.csv container-0647.csv container-0649.csv container-0650.csv,
軽戦士,Light Warrior,Guerreiro Leve,10,container-0650.csv,
重戦士,Heavy Warrior,Guerreiro Pesado,10,container-0650.csv,
魔術師,Sorcerer,Feiticeiro,10,container-0650.csv,
ドラゴンスレイヤー,Dragon Slayer,Mata Dragão,9,container-0641.csv container-0644.csv container-0645.csv container-0646.csv container-0647.csv container-0649.csv container-0650.csv,
／,/,/,9,container-0643.csv container-0644.csv container-0645.csv container-0646.csv container-0647.csv container-0648.csv container-0649.csv container-0650.csv,
ブラッディナックル,Bloody Knuckle,Manopla Sangrenta,8,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
トライクルセイド,Tri Crusade,Tri Cruzada,8,container-0647.csv container-0650.csv,
"上空へと跳び上がる斬撃。決め技ゲージ増加量：×Hit","A leaping, slashing attack into the air.
Increase to Special Attack gauge: 3 <0065> 3 Hits",×Golpe","Uma investida pro alto.
Aumento à barra de Ataque Especial: 3 <0065> 3 Golpes",8,container-0647.csv container-0650.csv,
大陸暦年,581 C.C.,,8,container-0650.csv,
翠の封陣器,Jade Sealpouch,Bolsa de Selos Jade,7,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
緋の封陣器,Rose Sealpouch,Bolsa de Selos Rosa,7,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
藍の封陣器,Azure Sealpouch,Bolsa de Selos Azul-Turquesa,7,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
大陸北部の地図,Map of the North Lands,Mapa das Terras do Norte,7,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
大陸西部の地図,Map of the West Lands,Mapa das Terras do Oeste,7,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
大陸東部の地図,Map of the East Lands,Mapa das Terras do Leste,7,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
時渡りの神器,Divine Time Giver,Doador do Tempo Divino,7,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
奉竜殿の転送装置を動かすためのキーストーン。,"Keystone used in the Palace of the Venerated Dragon to operate
the transfer device.","Pedra Chave usada no Palácio do Dragão Venerado para operar o dispositivo de transferência",7,container-0644.csv,
ロングソード,Long Sword,Espada Longa,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
レイピア,Rapier,Rapieira,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
シャムシール,Shamshir,Cimitarra,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ヴィーキングソード,Viking Sword,Espada Viking,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ファルシオン,Falchion,Falchion,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
ワルーンソード,Walloon Sword,Espada Valona,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
霊剣カールスナウト,Karsnaut,Karsnaut,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
名刀虎切り,Sabertooth Saber,Espada Dente-de-Sabre,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
パラッシュ,Pallasch,Palache,6,container-0641.csv container-0644.csv container-0645.csv container-0647.csv container-0649.csv container-0650.csv,
