original_jp,original_en,translated,occurrences,containers,notes
B〓M 〓o〓 （現在 LOOP：）,BGM No. <8094>4,,1,container-0642.csv,
最強〓〓〓〓,Full Strength,Força Total,1,container-0642.csv,
全必殺技習得,All Attacks,,1,container-0642.csv,
全〓〓〓習得,All Skills,,1,container-0642.csv,
全〓〓〓〓取得（で素材のみ）,All Items(<8099>Jfor materials only),Todos Itens (só materiais),1,container-0642.csv,
全貴重品取得,All Precious,,1,container-0642.csv,
封印石全て〓へ（所持分は残す）,All Sealstones at Spring (Retain held),,1,container-0642.csv,
お金加算 （現在 ）,Add money<0066><8094>6,,1,container-0642.csv,
魔晶石加算 （現在 ）,Add magic crystals<0066><8094>',,1,container-0642.csv,
敵陣系 AUTO,Enemy AUTO,,1,container-0642.csv,
敵陣系 〓ORMAL ATTACK,Enemy NORMAL ATTACK,,1,container-0642.csv,
敵陣系 BACK ATTACK,Enemy SURPRISE ATTACK,,1,container-0642.csv,
LV Up ：,LV Up<0066><8094>/,,1,container-0642.csv,
〓〓〓〓〓入れ替え ：,"Change Party<0066><8094>,",,1,container-0642.csv,
〓〓〓〓〓〓軽戦士,Light Warrior<8094>*,,1,container-0642.csv,
〓〓〓〓〓〓重戦士,Heavy Warrior<8094>*,,1,container-0642.csv,
〓〓〓〓〓〓弓闘士,Archer<8094>*,,1,container-0642.csv,
〓〓〓〓〓〓魔術師,Sorcerer<8094>*,,1,container-0642.csv,
〓〓〓〓変数     ,Scene variable <8094>%,,1,container-0642.csv,
（）,(<8094>),,1,container-0642.csv,
〓ポイント,Shop points,,1,container-0642.csv,
所持封印石最大数 ,Held sealstone limit<0066><8094>:,,1,container-0642.csv,
プレイ時間 （：：）,Gameplay time<0066><8094>+,,1,container-0642.csv,
セラフィックゲート・クリア回数 ,Seraphic Gate clears<0066><8094>+,,1,container-0642.csv,
最大ダメージ数 ,Max damage<0066><8094>+,,1,container-0642.csv,
最大ブレイクチェイン数 ,Max break chain<0066><8094>+,,1,container-0642.csv,
紫炎石〓獲得数 ,Purple crystal total<0066><8094>+,,1,container-0642.csv,
逃走回数 ,Retreats<0066><8094>+,,1,container-0642.csv,
死亡回数 ,Deaths<0066><8094>+,,1,container-0642.csv,
最大ヒット数 ,Max hit<0066><8094>+,,1,container-0642.csv,
切断部位数 ,Dismembered parts<0066><8094>+,,1,container-0642.csv,
最大モンスター討伐数 ,Max monsters punishable<0066><8094>+,,1,container-0642.csv,
最大エンカウント数 ,Max encounters<0066><8094>+,,1,container-0642.csv,
最大セーブ回数 ,Max saves<0066><8094>+,,1,container-0642.csv,
ダッシュ回数 ,Dashes<0066><8094>+,,1,container-0642.csv,
クリアカウント ,Clear Count<0066><8094>+,,1,container-0642.csv,
魔晶石〓獲得数 ,Magic crystal total<0066><8094>+,,1,container-0642.csv,
輝炎石〓獲得数 ,Flame crystal count<0066><8094>+,,1,container-0642.csv,
壁バウンド〓回数 ,Wall bounce total<0066><8094>+,,1,container-0642.csv,
地面バウンド〓回数 ,Ground bounce total<0066><8094>+,,1,container-0642.csv,
〓ダメージ〓計 ,Solde:<8094>-,,1,container-0642.csv,
最短戦闘時間 （：：）,Dipan:<8094>-,,1,container-0642.csv,
最長戦闘時間 （：：）,Villnore:<8094>-,,1,container-0642.csv,
ゾルデ：,Crell Monferaigne<8094>-,,1,container-0642.csv,
ディパン：,Peddler:<8094>-,,1,container-0642.csv,
ヴィルノア：,Valhalla:<8094>-,,1,container-0642.csv,
行商人：,Silmeria,,1,container-0642.csv,
ヴァルハラ：,Brahms,,1,container-0642.csv,
,Rufus,,1,container-0642.csv,
シルメリア,Lezard,,1,container-0642.csv,
ブラムス,Arngrim,,1,container-0642.csv,
ルーファス,Dylan,,1,container-0642.csv,
レザード,Leone,,1,container-0642.csv,
アリューゼ,Hrist,,1,container-0642.csv,
ディラン,Lenneth,,1,container-0642.csv,
レオーネ,Valkyrie,,1,container-0642.csv,
アーリィ,Alicia,,1,container-0642.csv,
レナス,Alicia (after),,1,container-0642.csv,
ヴァルキリー,Freya,,1,container-0642.csv,
アリーシャ,Ull,,1,container-0642.csv,
アリーシャ後半,Heimdall,,1,container-0642.csv,
ウル,Lwyn,,1,container-0642.csv,
ヘイムダル,Jessica,,1,container-0642.csv,
,Richelle,,1,container-0642.csv,
ルイン,Fraudir,,1,container-0642.csv,
ジェシカ,Celes,,1,container-0642.csv,
リシェル,Crescent,,1,container-0642.csv,
フローディア,Sylphide,,1,container-0642.csv,
セレス,Tyrith,,1,container-0642.csv,
クレセント,Circe,,1,container-0642.csv,
シルフィード,Rasheeka,,1,container-0642.csv,
ティリス,Falx,,1,container-0642.csv,
キルケ,Gerald,,1,container-0642.csv,
ラシーカ,Guilm,,1,container-0642.csv,
ファルクス,Roland,,1,container-0642.csv,
ジェラルド,Ehlen,,1,container-0642.csv,
ギルム,Adonis,,1,container-0642.csv,
ローランド,Aaron,,1,container-0642.csv,
エーレン,Dyn,,1,container-0642.csv,
アドニス,Kraad,,1,container-0642.csv,
アーロン,Zunde,,1,container-0642.csv,
ディーン,Atrasia,,1,container-0642.csv,
クラッド,Phyress,,1,container-0642.csv,
ザンデ,Chrystie,,1,container-0642.csv,
アトレイシア,Sha-kon,,1,container-0642.csv,
フィレス,Lylia,,1,container-0642.csv,
クリスティ,Lydia,,1,container-0642.csv,
紗紺,Sophalla,,1,container-0642.csv,
リリア,Millidia,,1,container-0642.csv,
リディア,Arcana,,1,container-0642.csv,
ソファラ,Ehrde,,1,container-0642.csv,
ミリティア,Mithra,,1,container-0642.csv,
アルカナ,Aegis,,1,container-0642.csv,
エルド,Psoron,,1,container-0642.csv,
ミトラ,Khanon,,1,container-0642.csv,
イージス,Farant,,1,container-0642.csv,
ソロン,Xehnon,,1,container-0642.csv,
カノン,Alm,,1,container-0642.csv,
ファーラント,Seluvia,,1,container-0642.csv,
ゼノン,Masato,,1,container-0642.csv,
アルム,Woltar,,1,container-0642.csv,
メニュー,Menu,Menu,1,container-0643.csv,
使う,Use,Usar,1,container-0643.csv,
貴重品,Precious,Precioso,1,container-0643.csv,
所持,Holding,Holding,1,container-0643.csv,
一覧,List,Lista,1,container-0643.csv,
説明,Guide,Guia,1,container-0643.csv,
編成,Configure,Configure,1,container-0643.csv,
解放,Free Soul,Free Soul,1,container-0643.csv,
能力値,Abilities,Habilidades,1,container-0643.csv,
プロフィール,Profile,Perfil,1,container-0643.csv,
経歴,Background,Background,1,container-0643.csv,
ゲーム,Game,Jogo,1,container-0643.csv,
環境,Environment,Ambiente,1,container-0643.csv,
コントローラ,Controls,Controles,1,container-0643.csv,
設定,Change,Mudar,1,container-0643.csv,
元に戻す,Undo,Desfazer,1,container-0643.csv,
デフォルト,Default,Padrão,1,container-0643.csv,
セーブ,Save,Salvar,1,container-0643.csv,
ロード,Load,Carregar,1,container-0643.csv,
アイテムを使います,Use items.,Usar items.,1,container-0643.csv,
装備を変更します,Change equipment.,Mudar equipamento.,1,container-0643.csv,
スキルをセットします,Set skills.,Definir habilidades.,1,container-0643.csv,
通常攻撃技をセットします,Set normal attacks.,Definir ataques normais.,1,container-0643.csv,
封印石の情報を確認します,See sealstone information.,Ver informações de sealstone.,1,container-0643.csv,
パーティーを編成します,Reconfigure the party.,Reconfigurar grupo.,1,container-0643.csv,
ステータスを確認します,Check character status.,Verificar status do personagem.,1,container-0643.csv,
ゲーム環境を設定します,Adjust game settings.,Ajustar configurações do jogo.,1,container-0643.csv,
ゲームデータをセーブ・ロードします,Save/load game data.,Salvar<001A>carregar dados de jogo.,1,container-0643.csv,
貴重品,Precious Item,Item Precioso,1,container-0644.csv,
アイテムを使います,Use an item.,Usar um item.,1,container-0644.csv,
装備品を確認します,Check equipment.,Ver equipamento.,1,container-0644.csv,
アクセサリーを確認します,Check accessories.,Ver acessórios.,1,container-0644.csv,
