resource,message_id,kind,offset,byte_length,original_en,original_jp,translated
647,1,codepage,0,3,LV,〓〓,
647,0,codepage,0,3,LV,〓〓,
647,2,codepage,3,3,HP,〓〓,
647,3,codepage,6,2,/,〓,
647,4,codepage,8,7,Weapon,〓器,
647,5,codepage,15,8,Attacks,〓〓〓〓,
647,6,codepage,23,15,Special Attack,〓め技,
647,7,codepage,38,12,Great Magic,大魔法,
647,8,codepage,50,3,No,不〓,
647,9,codepage,53,15,Normal Attacks,〓常〓〓技,
647,10,codepage,68,14,Attack Spells,〓常〓〓魔法,
647,11,codepage,82,16,Scramble Attack,スクランブルアタック,
647,12,codepage,98,3,AP,〓〓,
647,13,codepage,101,4,1ST,〓〓〓,
647,14,codepage,105,4,2ND,〓〓〓,
647,15,codepage,109,4,3RD,〓〓〓,
647,16,codepage,113,4,SET,〓〓〓,
647,17,codepage,117,5,None,なし,
647,18,codepage,122,8,Attacks,〓〓技,
647,19,codepage,130,7,Spells,魔法,
647,20,codepage,137,9,(Remove),〓はずす〓,
647,21,codepage,146,31,Set character's normal attack.,〓常〓〓技をセットします,
647,22,codepage,177,33,Set character's scramble attack.,スクランブルアタックをセットします,
647,23,codepage,210,23,Set character's spell.,〓常〓〓魔法をセットします,
647,24,codepage,233,21,Reorder set attacks.,セットされている〓〓技を入れ〓えます,
647,25,codepage,254,23,<8099>RReorder <8099>-<8099>+Char.,入れ〓え〓キャラ,
647,26,codepage,277,12,<8099>-<8099>+Char.,キャラ,
647,27,codepage,289,11,<8099>8<8099>9Page,ページ,
647,28,codepage,300,17,<8099>@<8099>ROK <8099>ABack,〓定〓〓る,
647,30,codepage,318,11,Long Sword,ロングソード,
647,31,codepage,329,7,Rapier,レイピア,
647,32,codepage,336,9,Shamshir,シャムシール,
647,33,codepage,345,13,Viking Sword,ヴィーキングソード,
647,34,codepage,358,9,Falchion,ファルシオン,
647,35,codepage,367,14,Walloon Sword,〓ルーンソード,
647,36,codepage,381,9,Karsnaut,霊剣カールスナウト,
647,37,codepage,390,17,Sabertooth Saber,名刀〓切り,
647,38,codepage,407,9,Pallasch,パラッシュ,
647,39,codepage,416,15,Sinclair Saber,シンクレアーサーベル,
647,40,codepage,431,10,Frostbane,フロストペイン,
647,41,codepage,441,6,Harpe,〓刀ハルペー,
647,42,codepage,447,15,Spider Fighter,名刀〓〓切り,
647,43,codepage,462,15,Lightning Edge,ライトニングエッジ,
647,44,codepage,477,13,Icicle Sword,アイシクルソード,
647,45,codepage,490,11,Runeslayer,ルーンスレイヤー,
647,46,codepage,501,15,Flare Baselard,フレアバゼラード,
647,47,codepage,516,13,Lotus Slicer,名刀〓〓ち,
647,48,codepage,529,11,Holy Sword,ホーリィソード,
647,49,codepage,540,11,Sun Shower,名刀五月雨,
647,50,codepage,551,10,Arondight,名剣アロンダイト,
647,51,codepage,561,17,Sword of Silvans,〓刀シルヴァンス,
647,52,codepage,578,5,Gram,魔剣グラム,
647,53,codepage,583,8,Ascalon,聖剣アスカロン,
647,54,codepage,591,9,Moonfalx,名剣ムーンファルクス,
647,55,codepage,600,15,Glance Reviver,神剣グランス・リヴァイバー,
647,56,codepage,615,9,Dainslef,魔剣ダインスレイヴ,
647,57,codepage,624,24,"Demon Sword ""Levantine""",魔剣レヴァンテイン,
647,58,codepage,648,14,Helgi's Sword,〓剣ヘルギ,
647,59,codepage,662,13,Angel Slayer,〓人の剣〓神を〓〓〓し者〓,
647,60,codepage,675,14,Bastard Sword,バスタードソード,
647,61,codepage,689,17,Two-Handed Sword,トゥハンデッドソード,
647,62,codepage,706,15,Striking Sword,ストライキングソード,
647,63,codepage,721,15,Elemental Edge,エレメンタルエッジ,
647,64,codepage,736,6,Screp,スクレップ,
647,65,codepage,742,9,Claymore,クレイモア,
647,66,codepage,751,9,Hrunting,フルンティング,
647,67,codepage,760,10,Flamberge,フランベルジュ,
647,68,codepage,770,11,Zweihander,ツヴァイハンダー,
647,69,codepage,781,11,Vainslayer,名剣ヴェインスレイ,
647,70,codepage,792,14,Dragon Slayer,ドラゴンスレイヤー,
647,71,codepage,806,12,Kraadicator,シルバークラッド,
647,72,codepage,818,12,Grand Sting,蒼剣グランスティング,
647,73,codepage,830,10,Arectaris,精王剣アレクタリス,
647,74,codepage,840,9,Durandal,〓剣デュランダル,
647,75,codepage,849,9,Caliburn,カリバーン,
647,76,codepage,858,12,Gjallarhorn,神剣ギャラルホルン,
647,77,codepage,870,15,Claiomh Solais,光剣クラウソナス,
647,78,codepage,885,14,Vampire Sword,ヴァンパイアソード,
647,79,codepage,899,13,Ignite Sword,イグニートソード,
647,80,codepage,912,24,"Demon Sword ""Nefarious""",魔剣アクターネファリウス,
647,81,codepage,936,8,Tyrfing,壊剣ティルフング,
647,82,codepage,944,8,Gungnir,神槍グングニル,
647,83,codepage,952,16,Saint's Halberd,聖槍セントハルバード,
647,84,codepage,968,17,"Spear ""Basilisk""",〓〓バシリスク,
647,85,codepage,985,15,Lunar Bardiche,裂槍ルーンバルディーチェ,
647,86,codepage,1000,23,"Great Spear ""Dinosaur""",〓槍ダイナソア,
647,87,codepage,1023,10,Short Bow,シヨートボウ,
647,88,codepage,1033,9,Crossbow,クロスボウ,
647,89,codepage,1042,9,Long Bow,ロングボウ,
647,90,codepage,1051,13,Strength Bow,ストレングスボウ,
647,91,codepage,1064,17,Supreme Crossbow,スプリームクロスボウ,
647,92,codepage,1081,15,Heavy Crossbow,ヘビークロスボウ,
647,93,codepage,1096,18,Composite Longbow,コンポジットロング,
647,94,codepage,1114,16,Greenery Slayer,グリナリースレイヤー,
647,95,codepage,1130,9,Arbalest,アーバレスト,
647,96,codepage,1139,18,Serstine-lock-gun,セルスタインロックガン,
647,97,codepage,1157,12,Mage Slayer,メイジスレイヤー,
647,98,codepage,1169,12,Doublecross,〓弓ダブルクロス,
647,99,codepage,1181,9,Elvenbow,霊弓エルヴンボウ,
647,100,codepage,1190,14,Shiny Rupture,シャイニィラプチャー,
647,101,codepage,1204,10,Blue Gale,〓弓ブルーゲイル,
647,102,codepage,1214,11,Misteltein,〓弓ミステルテイン,
647,103,codepage,1225,15,Crescent Arrow,クレセントアロー,
647,104,codepage,1240,13,Wild Chalice,〓イルドカリス,
647,105,codepage,1253,8,Tathlum,魔〓タスラム,
647,106,codepage,1261,11,Soulslayer,ソウルスレイヤー,
