resource,message_id,kind,offset,byte_length,original_en,original_jp,translated,copy_status
10,1,codepage,0,453,"<8084>0Enable progressive scan?
<8099>7Yes (16:9)  <8099>6Yes (4:3)  <8099>5No
<0065>
<808A><CCCD>k^<CCCD>k^Component AV Cable (for PlayStation<0066>2) and compatible
(525p) television required for progressive scan.
<0065>
<8088>3If a progressive image does not appear after 10 seconds,
you will be automatically returned to this menu.
 
Press <8099>7 to enable widescreen mode.
Set your television to the appropriate display mode.
Refer to your television's instruction manual for details.
","プログレッシブ表示に切り替えますか？
はい（：） はい（：） いいえ
 
プログレッシブ表示には”PlayStation 2”専用コンポーネントAVケーブルと
プログレッシブ（525p）表示に対応したテレビが必要になります。
 
10秒以上たっても画面が正常に表示されない場合は
この画面がもう一度表示されます。
 
の場合はワイドテレビ対応になりますので、
テレビの画面モードをフルモード（またはそれに準ずるモード）に
切り替えてください。詳しくは御使用のテレビの
取扱説明書をご覧ください。
",,duplicate
10,0,codepage,0,453,"<8084>0Enable progressive scan?
<8099>7Yes (16:9)  <8099>6Yes (4:3)  <8099>5No
<0065>
<808A><CCCD>k^<CCCD>k^Component AV Cable (for PlayStation<0066>2) and compatible
(525p) television required for progressive scan.
<0065>
<8088>3If a progressive image does not appear after 10 seconds,
you will be automatically returned to this menu.
 
Press <8099>7 to enable widescreen mode.
Set your television to the appropriate display mode.
Refer to your television's instruction manual for details.
","プログレッシブ表示に切り替えますか？
はい（：） はい（：） いいえ
 
プログレッシブ表示には”PlayStation 2”専用コンポーネントAVケーブルと
プログレッシブ（525p）表示に対応したテレビが必要になります。
 
10秒以上たっても画面が正常に表示されない場合は
この画面がもう一度表示されます。
 
の場合はワイドテレビ対応になりますので、
テレビの画面モードをフルモード（またはそれに準ずるモード）に
切り替えてください。詳しくは御使用のテレビの
取扱説明書をご覧ください。
",,primary
10,2,codepage,453,187,"<8084>0Progressive scan (16:9) enabled.
Proceed with game in this display mode?
<8099>@Yes <8099>ANo
<0065>
<808A><CCCD>k^<CCCD>k^<8088>3You will be returned to the menu if there is no
response within 10 seconds.
","プログレッシブ表示（：）に変更しました。
この画面表示モードでゲームを開始してよろしいですか？
はい いいえ
 
10秒以上たっても応答がない場合は
自動的にプログレッシブ表示切り替え画面に戻ります。
",,
10,3,codepage,640,185,"<8084>0Progressive display (4:3) set.
Proceed with game in this display mode?
<8099>@Yes <8099>ANo
<0065>
<808A><CCCD>k^<CCCD>k^<8088>3You will be returned to the menu if there is no
response within 10 seconds.
","プログレッシブ表示（：）に変更しました。
この画面表示モードでゲームを開始してよろしいですか？
はい いいえ
 
10秒以上たっても応答がない場合は
自動的にプログレッシブ表示切り替え画面に戻ります。
",,
10,4,codepage,825,130,"<8084>0No memory card (8MB)(for PlayStation<0066>2) inserted
in MEMORY CARD slot 1 or MEMORY CARD slot 2.
Valkyrie Profile<0066>2 requires <8094>","MEMORY CARD差込口、及び
MEMORY CARD差込口に
”PlayStation 2”専用メモリーカード（8MB）が
差されていません。
Valkyrie Profile 2 のゲームデータを
セーブするにはKB以上の
空き容量が必要です。
 
このままゲームを開始しますか？
",,
10,5,codepage,1020,93,"<8084>0Insufficient free space on
memory card (8MB)(for PlayStation<0066>2) in
MEMORY CARD slot <8094>0","MEMORY CARD差込口の
”PlayStation 2”専用メモリーカード（8MB）の
空き容量が足りません。
Valkyrie Profile 2 のゲームデータを
セーブするにはKB以上の
空き容量が必要です。
 
このままゲームを開始しますか？
",,
10,6,codepage,1212,149,"<8084>0Insufficient free space on
memory cards (8MB)(for PlayStation<0066>2) in
MEMORY CARD slot 1 and MEMORY CARD slot 2.
 Valkyrie Profile<0066>2 requires <8094>","MEMORY CARD差込口、及び
MEMORY CARD差込口の
”PlayStation 2”専用メモリーカード（8MB）の
空き容量が足りません。
Valkyrie Profile 2 のゲームデータを
セーブするにはKB以上の
空き容量が必要です。
 
このままゲームを開始しますか？
",,
10,7,codepage,1426,108,"<8084>0Loading settings data.
<0065>
Do not remove memory card (8MB)(for PlayStation<0066>2)
from MEMORY CARD slot <8094>0","環境設定データをロードしています。
 
MEMORY CARD差込口の
”PlayStation 2”専用メモリーカード（8MB）を
抜き差ししないでください。",,
10,10,codepage,1536,209,"<8084>0Select screen size:
<8099>716:9<0065><8099>64:3
<0065>
<808A><CCCD>k^<CCCD>k^<8088>3Press <8099>7 to enable widescreen mode.
Set your television to the appropriate display mode.
Refer to your television's instruction manual for details.
","画面サイズを設定してください。
： ：
 
の場合はワイドテレビ対応になりますので、
テレビの画面モードをフルモード（またはそれに準ずるモード）に
切り替えてください。詳しくは御使用のテレビの
取扱説明書をご覧ください。
",,
10,11,codepage,1745,252,"<8084>0Enable 1080i mode.
This mode is only compatible with high-definition
televisions that support the 1080i display mode.
<0065>
<808A><CCCD>k^<CCCD>k^<8088>3This mode is not supported.
Proceed with the game at your own risk.<8089><808B>
 
Proceed with game?
<8099>@Yes <8099>ANo
","D出力対応モードに変更しました。
このモードはD端子対応テレビのみ
ご覧いただけます。
 
ゲームを開始してよろしいですか？
はい いいえ
",,
10,90,codepage,1997,147,"<8084>0Could not detect DUALSHOCK<0066>2 analog controller.
Please insert DUALSHOCK<0066>2 analog controller
into controller port 1.
 
Press <8099>@ to proceed.","アナログコントローラ（DUALSHOCK 2）が
見つかりませんでした。コントローラ端子に
アナログコントローラ（DUALSHOCK 2）を差し込み、
を押してください。",,
10,100,codepage,2144,4,Yes,はい,,duplicate
10,101,codepage,2148,3,No,いいえ,,duplicate
10,102,codepage,2151,20,Skip this sequence?,スキップしますか？,,
10,1000,codepage,2171,3,<808C>,"Game Designer
Masaki Norimoto",,duplicate
10,1001,codepage,2243,3,<808C>,"Planning
Masahiro Nishida
Takashi Sato",,duplicate
10,1002,codepage,2322,3,<808C>,"Lead Programmer
Shigeru Ueki",,duplicate
10,1003,codepage,2390,3,<808C>,"Battle Programmer
Yuichiro Kitao",,duplicate
10,1004,codepage,2466,3,<808C>,"Lead R&D Programmer
Yoshiharu Gotanda",,duplicate
10,1005,codepage,2546,3,<808C>,"Sound
Yusaburo Shimojo",,duplicate
10,1006,codepage,2613,3,<808C>,"Art Director
Eiko Sawamura",,duplicate
10,1007,codepage,2683,3,<808C>,"Background Design & Modeling
Kentaro Kagami
Miyuki Yamamoto",,duplicate
10,1008,codepage,2790,3,<808C>,"Character Design & Modeling
Masashi Nakagawa",,duplicate
10,1009,codepage,2878,3,<808C>,"Visual Effects
Mariko Kamiya",,duplicate
10,1010,codepage,2953,3,<808C>,"3D Animation
Masaaki Yamashima",,duplicate
10,1011,codepage,3026,3,<808C>,"Scenario Script
Yasushi Otake",,duplicate
10,1012,codepage,3100,3,<808C>,"Event Director
Kazuki Hayashitani",,duplicate
10,1013,codepage,3180,3,<808C>,"FMV Director
Kenichi Kanekura",,duplicate
10,1014,codepage,3255,3,<808C>,"FMV
Yukinori Masuda",,duplicate
10,1015,codepage,3317,3,<808C>,"Music
Motoi Sakuraba",,duplicate
10,1016,codepage,3379,3,<808C>,"Director
Takayuki Suguro",,duplicate
10,2000,token,3448,15,Danger.,来るわ…,Perigo.,
10,2001,token,3463,21,From what?,…何が？,De quê?,
10,2002,token,3484,31,You can't tell?,わからないのか！？,Não consegue sentir?,
10,2003,token,3515,147,"How do you know?
                                 I don't sense anything.","…なぜわかる？
         さっぱりわからない…","Como você sabe?
                                 Eu não sinto nada.",
10,2004,token,3662,73,"If she says we're in danger, we are!",来るってんなら来るんだろ？,"Se ela diz que estamos em perigo, é porque estamos!",
10,2005,token,3735,23,He's right!,そうよ！,Ele tem razão!,
10,2006,token,3758,31,"Open your eyes,",…さあ 目を覚まして,"Abra os olhos,",
10,2007,token,3789,15,Alicia.,アリーシャ…,Alicia.,
10,2008,token,3804,57,Run! Escape from the castle!,逃げろ！ 城から出るんだ！,Corra! Fuja do castelo!,
10,2010,token,3861,37,"This way, quickly!",こっちだ 早く！,"Por aqui, rápido!",
10,2011,token,3898,13,Hurry!,行くのよ！,Depressa!,
10,2012,token,3911,17,Quickly!,早く！,Rápido!,
10,2013,token,3928,45,I know! Don't rush us!,わかってる！ 焦らせるな！,Eu sei! Não nos apresse!,
10,2014,token,3973,23,Over there!,あっちだ！,Por ali!,primary
10,2015,token,3996,51,"Silmeria, return at once!",シルメリア 戻りなさい！,"Silmeria, volte imediatamente!",
10,2016,token,4047,21,I won't...,私は ――,Eu não vou...,
10,2017,token,4068,55,I won't return to Valhalla!,―― ヴァルハラへは戻らない！,Não vou voltar a Valhalla!,
10,2019,token,4124,81,You'll disobey Odin to your last breath.,あくまでオーディン様の命に背くか…,Você vai desobedecer Odin até o último suspiro.,
10,2020,token,4205,19,So be it.,…いいだろう,Que assim seja.,
10,2021,token,4224,29,But be warned<808A>,ディパンの安全は保証しない,Mas fique avisada<808A>,
10,2021+2,token,4254,3,<4080>,,,
10,2021+4,token,4258,57,<3F80>-<808B>Dipan will not be spared.,,<3F80>-<808B>Dipan não será poupado.,
10,2022,token,4315,21,Thank you.,ありがとう…,Obrigada.,primary
10,2023,token,4336,53,There's no going back now.,…もう後へは戻れないわ,Agora não há como voltar atrás.,
10,2024,token,4389,23,Let's go...,そうね…,Vamos...,
