resource,message_id,kind,offset,byte_length,original_en,original_jp,translated,copy_status
648,1,codepage,0,5,Cost,,,primary
648,0,codepage,0,5,Cost,なし,,primary
648,2,codepage,5,5,None,なし,,duplicate
648,3,codepage,10,7,Origin,原産地,,primary
648,4,codepage,17,14,1. Sealstones,.封印石について,,
648,5,codepage,31,19,2. Effect Subjects,.効果の対〓,,
648,6,codepage,50,16,3. Area Effects,.エリア効果（台座と殻）,,
648,7,codepage,66,17,4. Divinity Void,.加護無しの間,,
648,8,codepage,83,27,5. Springs and Restoration,.〓と返還,,
648,9,codepage,110,13,6. Camp Menu,.メニュー,,
648,11,codepage,123,2,/,／,,duplicate
648,12,codepage,125,5,None,なし,,duplicate
648,13,codepage,130,9,????????,？？？？？？？？,,
648,14,codepage,139,5,Sort,ソート,,duplicate
648,15,codepage,144,7,Origin,原産地〓,,duplicate
648,16,codepage,151,5,Type,種類〓,,duplicate
648,17,codepage,156,4,ABC,名前〓,,duplicate
648,18,codepage,160,9,Acquired,入手封印石,,
648,19,codepage,169,9,Restored,返還済み,,
648,25,codepage,178,11,Sealstones,封印石,,duplicate
648,26,codepage,189,4,---,,,
648,50,codepage,193,33,Check sealstones currently held.,所持している封印石を確認します,,
648,51,codepage,226,21,View sealstone list.,封印石の一覧を表示します,,
648,52,codepage,247,28,View sealstone explanation.,封印石の説明を表示します,,
648,53,codepage,275,26,<8099>RInfo<0065><8099>8<8099>9Switch page,詳細 ページ切り替え,,
648,54,codepage,301,8,<8099>RInfo,詳細,,
648,55,codepage,309,18,<8099>2<8099>3Switch page,ページ切り替え,,
648,56,codepage,327,32,<8099>R<8099>@Info  <8099>QSort  <8099>8<8099>9Page,詳細 ソート ページ,,
648,57,codepage,359,19,Arrange by origin.,原産地別に並び替えます,,
648,58,codepage,378,17,Arrange by type.,種類別に並び替えます,,duplicate
648,59,codepage,395,31,Arrange in alphabetical order.,名前〓に並び替えます,,duplicate
648,60,codepage,426,34,Place acquired sealstones at top.,入手した事のある封印石を先頭に移動します,,
648,61,codepage,460,34,Place restored sealstones at top.,返還した事のある封印石を先頭に移動します,,
648,70,codepage,494,11,<8099>R<8099>ABack,戻る,,duplicate
648,71,codepage,505,121,"<8088>1Sealstones<8089> are concentrated energy that
seeps from Yggdrasil's earth veins.
They affect their holders' abilities.","封印石とは、ユグドラシルの地脈から
にじみ出る力が〓縮されたものであり、
所有者の能力に影響を与える石です。",,
648,72,codepage,626,66,"When a character holds a sealstone,
it affects the entire party.","プレイヤーが封印石を所持している場合
は、パーティー全体に影響を与えます。",,
648,73,codepage,692,53,"Sealstones can only be placed at certain
locations.","封印石は特別な場所以外には置く事が
できません。",,
