scene,scene_line,resource,message_id,script_offset,voice_scene,voice_slot,audio_id,speaker,original_en,original_jp,translated,details,copy_status
1,1,95,3,1392,,,,Townsperson,"We have a miners' guild in this town.
All the mined iron ore goes through them. <PART>
---
There had been another guild up until a few
years ago, but casualties wiped them out.",この街には 〓山夫が集うぎルドがあってね〓〓した鉄〓は全てそこを通されるんだ <PART> 数年前まではもう一つぎルドがあったんだけど死〓者が出たとかで潰れちまったんだよね,,,
1,2,95,4,1484,,,,Townsperson,"The other guild closed down around the time
they found monster eggs in Turgen Mine.",もう一つのぎルドが潰れたのって ト〓ルゲン〓山で魔物の〓が発〓された頃だったかな…？,,,
1,3,95,5,1964,,,,Townsperson,"What's all the fuss about out there?
They shut the castle gates all of a sudden!",外が騒がしいけど何かあったのか？城も急に城〓閉じちまうし…,,,
1,4,95,6,2040,,,,Shopkeeper,"Villnore is a great place for shopping!
You won't find a better town for it!",買い物するなら ヴィルノアが一番！他の街には負けてないよ,,,primary
1,5,95,7,2208,,,,Shopkeeper,"Sell me anything you have no use for.
I might be able to make you something! <PART>
---
You send plenty of business my way, and
maybe I'll make you something special. <PART>
---
I'll tell you this <PART> ---- <PART> you won't find my
wares anywhere else...particularly armor.",何か不必要なものがあれば売ってくれ材料によっては〓しい品が作れるからな <PART> ウチの〓品を〓山買ってくれるなら他には内緒で その〓品を売ってやるぞ <PART> 言っとくが 他の街の〓とは品揃えがまったく違うからな！ ウチが作る防〓は凄いぜ,,,
1,6,95,8,2300,,,,Shopkeeper,Pleasure doing business. Come again soon!,まいどどうも！ また来てくれよ！,,,
1,7,95,9,2372,,,,Shopkeeper,"Villnore is a great place for shopping!
You won't find a better town for it!",買い物するなら ヴィルノアが一番！他の街には負けてないよ,,,duplicate
1,8,95,10,2452,,,,Shopkeeper,"The castle just took inventory of
my weapons and armor! What gives?",さっき突然 城から武器防〓の確認されたよ一体何があったってんだろうねえ…？,,,
1,9,95,11,2536,,,,Shopkeeper,"Villnore is a great place for shopping!
You won't find a better town for it!",買い物するなら ヴィルノアが一番！他の街には負けてないよ,,,duplicate
1,10,95,12,2616,,,,Shopkeeper,"Weapons flew off the shelves after Dipan fell.
It was good for sales, but I don't want war.",ディパンの滅亡で急に武器防〓が売れ出したよそれはそれで嬉しいが 戦が起こるのはねぇ…,,,
1,11,95,13,2700,,,,Shopkeeper,"Villnore is a great place for shopping!
You won't find a better town for it!",買い物するなら ヴィルノアが一番！他の街には負けてないよ,,,duplicate
1,12,95,14,2780,,,,Shopkeeper,"I realize weapons cause wars, but if I
don't sell these, I can't make a living.",武器が戦に〓〓を掛けるのはわかっちゃいるがこれを売らなきゃ 俺も生活ができないんでな…,,,
1,13,95,15,2932,,,,Townsperson,"Everyone in town is saying they
expect a draft to start soon... <PART>
---
I don't want to be a soldier!
I'm not going to die in battle!",街の皆は 〓兵が始まるんじゃないかって言ってるんだ… <PART> 俺は兵士になんてなりたかないよ戦で死ぬなんて冗談じゃない！,,,
1,14,95,16,3192,,,,Townsperson,"Monsters have come out of the woods
by Coriander. <PART>
---
Guards won't do the trick over there <PART> ---- <PART>
they need adventurers to handle it.",コリアンドル村の近くにある森に魔物が出たらしいね <PART> あの辺境じゃ 〓備〓も期待できないしどこかの〓〓者頼みになるのかなぁ…,,,
1,15,95,17,3284,,,,Townsperson,"Now there are monsters in these parts...
The world's gone mad lately.",この付近でも 魔物が出たって言うし木ント 最近物騒で仕方がないよ,,,
1,16,95,18,3604,,,,Adventurer,"They don't have them for sale here, either...
Weapons <PART> ---- <PART> slayer weapons, to be precise. <PART>
---
Even monsters that are typically impervious to
weapons are a piece of cake with slayers. <PART>
---
The Dragon Slayer downs dragons,
while the Greenery Slayer prunes plants. <PART>
---
With that kind of power in your weapon,
there's nothing to fear!",やっぱり ここの〓にも無いか…武器だよ 武器 スレイヤー〓のやつ <PART> 普通の武器では適わない相手もそいつがあれば 楽勝なんだぜ <PART> ドラゴン相手ならドラゴンスレイヤー獣相手ならビーストスレイヤーってな <PART> その〓果が付いている武器さえあれば魔物なんざ怖くないんだがなあ,,,
1,17,95,19,3696,,,,Adventurer,"Even if they had slayer weapons,
the prices would be astronomical.",スレイヤー〓の武器は あったとしても値段が張るんだよなあ,,,
1,18,95,33,3924,,,,,"Giant Scarab <PART> Head
 <PART> Armor Beetle <PART> Head",〓甲虫の角〓 <PART> ジャイアントスカラベ <PART> ： 頭 <PART> アーマービートル <PART> ： 頭,,,
1,19,95,32,3980,,,,,"Toxic Flower <PART> Upper Body
 <PART> Sand Flower <PART> Upper Body",〓白い花弁〓 <PART> トキシックフラワー <PART> ： 上半身 <PART> サンドフラワー <PART> ： 上半身,,,
1,20,95,31,4036,,,,,Wild Lizard <PART> Leg,〓飛燕鱗〓 <PART> ワイルドリザード <PART> ： 足,,,
1,21,95,30,4092,,,,,"Lizard Knight <PART> Weapon
 <PART> Living Armor <PART> Weapon",〓するどい矛先〓 <PART> リザードナイト <PART> ： 武器 <PART> リビングアーマー <PART> ： 武器,,,
1,22,95,29,4148,,,,,"Red Jewel <PART> Treasure
 <PART> Black Jewel <PART> Treasure",〓コアルビー〓 <PART> レッドジュエル <PART> ： 宝石 <PART> ブラックジュエル <PART> ： 宝石,,,
1,23,95,28,4204,,,,,Mimetic Flower <PART> Upper Body,〓ハームシード〓 <PART> ミメティックフラワー <PART> ： 上半身,,,
2,1,95,1,,,,,,Head outside,外へ,,not displayed by the event script,duplicate
2,2,95,2,,,,,,HTalk,話す,,not displayed by the event script,duplicate
2,3,95,20,,,,,,HRead,読む,,not displayed by the event script,duplicate
2,4,95,21,,,,,,,〓〓主メモ〓,,not displayed by the event script,
2,5,95,22,,,,,,Beetle Horn,甲虫の角,,not displayed by the event script,duplicate
2,6,95,23,,,,,,White Flower Petal,白い花弁,,not displayed by the event script,duplicate
2,7,95,24,,,,,,Unladen Swallow Scales,飛燕鱗,,not displayed by the event script,duplicate
2,8,95,25,,,,,,Sharp Spearhead,するどい矛先,,not displayed by the event script,duplicate
2,9,95,26,,,,,,Core Ruby,コアルビー,,not displayed by the event script,duplicate
2,10,95,27,,,,,,Toxic Seed,ハームシード,,not displayed by the event script,duplicate
2,11,95,150,,,,,,Villnore,ヴィルノア,,not displayed by the event script,duplicate
2,12,95,2890,,,,,,Townsperson,ヴィルノア住人,,not displayed by the event script,duplicate
2,13,95,2891,,,,,,Shopkeeper,〓主,,not displayed by the event script,duplicate
2,14,95,2892,,,,,,Adventurer,冒険者,,not displayed by the event script,duplicate
