scene,scene_line,resource,message_id,script_offset,voice_scene,voice_slot,audio_id,speaker,original_en,original_jp,translated,details,copy_status
1,1,1181,2759,7092,,,,,Dylan <PART> has joined the party.,ディラン <PART> が仲間に加わりました,,,primary
1,2,1181,2760,7580,,,,,Lezard <PART> has joined the party.,レザード <PART> が仲間に加わりました,,,primary
1,3,1181,2761,8112,,,,,Leone <PART> has joined the party.,レオーネ <PART> が仲間に加わりました,,,primary
1,4,1181,2762,8600,,,,,Arngrim <PART> has joined the party.,アリューゼ <PART> が仲間に加わりました,,,primary
1,5,1181,2763,9376,,,,,Mithra <PART> has joined the party.,ミトラ <PART> が仲間に加わりました,,,primary
1,6,1181,2764,10100,,,,,Lenneth <PART> has joined the party.,レナス <PART> が仲間に加わりました,,,primary
1,7,1181,2765,10488,,,,,Silmeria <PART> has joined the party.,シルメリア <PART> が仲間に加わりました,,,primary
1,8,1181,2766,10816,,,,,Brahms <PART> has joined the party.,ブラムス <PART> が仲間に加わりました,,,primary
1,9,1181,2767,11204,,,,,,アーリィ <PART> が仲間に加わりました,,,
2,1,1181,2370,16728,,,,,ERRORv,ERROR！！（v190）,,,duplicate
2,2,1181,2371,16864,,,,,ERRORv,ERROR！！（v191）,,,duplicate
2,3,1181,2372,17000,,,,,ERRORv,ERROR！！（v191）,,,duplicate
3,1,1181,1,,,,,,Dragonscrypt,竜の墓場,,not displayed by the event script,duplicate
3,2,1181,48,,,,,,Acquired <PART> Ghoul Powder,グールパウダー <PART> を手に入れた,,not displayed by the event script,duplicate
3,3,1181,49,,,,,,Acquired <PART> Antique Pendant,ふるびたペンダント <PART> を手に入れた,,not displayed by the event script,duplicate
3,4,1181,50,,,,,,Acquired <PART> Ghoul Powder,グールパウダー <PART> を手に入れた,,not displayed by the event script,duplicate
3,5,1181,51,,,,,,Acquired <PART> Dragon Orb,ドラゴンオーブ <PART> を手に入れた,,not displayed by the event script,duplicate
3,6,1181,52,,,,,,Acquired <PART> Water Mirror,水鏡 <PART> を手に入れた,,not displayed by the event script,duplicate
3,7,1181,2376,,,,,,Dragonscrypt,竜の墓場,,not displayed by the event script,duplicate
3,8,1181,2746,,,,,,Acquired <PART> Apothecary's Arcanum,薬士の秘薬 <PART> を手に入れた,,not displayed by the event script,duplicate
3,9,1181,2747,,,,,,Acquired <PART> Double-check,ダブルサーチ <PART> を手に入れた,,not displayed by the event script,duplicate
