resource,message_id,kind,offset,byte_length,original_en,original_jp,translated,copy_status
649,1,codepage,0,3,LV,LV,NV,duplicate
649,0,codepage,0,3,LV,LV,NV,duplicate
649,2,codepage,3,3,HP,HP,HP,duplicate
649,3,codepage,6,2,/,／,/,duplicate
649,4,codepage,8,5,Next,NEXT,Próx,primary
649,5,codepage,13,8,Free LV,解放LV,Nv. Livre,primary
649,6,codepage,21,4,ATK,ATK,ATQ,primary
649,7,codepage,25,4,MAG,MAG,MAG,primary
649,8,codepage,29,4,HIT,HIT,PRE,primary
649,9,codepage,33,4,AVD,AVD,ESQ,primary
649,10,codepage,37,4,RDM,RDM,RDM,primary
649,11,codepage,41,4,RST,RST,RES,primary
649,12,codepage,45,3,1P,1P,1P,
649,13,codepage,48,3,2P,2P,2P,
649,14,codepage,51,9,(Remove),〓はずす〓,(Tirar),duplicate
649,15,codepage,60,7,Weapon,WEAPON,Arma,duplicate
649,16,codepage,67,5,Head,HEAD,Cab.,duplicate
649,17,codepage,72,5,Body,BODY,Corpo,duplicate
649,18,codepage,77,5,Arms,ARM,Braços,duplicate
649,19,codepage,82,5,Legs,FEET,Pernas,duplicate
649,20,codepage,87,7,Acc. 1,ACC 1,Aces.1,duplicate
649,21,codepage,94,7,Acc. 2,ACC 2,Aces.2,duplicate
649,22,codepage,101,7,Acc. 3,ACC 3,Aces.3,duplicate
649,23,codepage,108,7,Acc. 4,ACC 4,Aces.4,duplicate
649,24,codepage,115,48,"Obtained crystal containing
einherjar's power.","エインフェリアの力の結晶を
手に入れました",,
649,25,codepage,163,34,<8084>0<8088>4About Freeing Einherjar<8089><808E>,"エインフェリアの解放について
エインフェリアを解放すると
今までそのキャラクターが〓えた力が
結晶となり、プレイヤーの手元に残されます力の結晶は、
緋炎石・蒼炎石・翠炎石
の種類です
それ〓れ対応するステータスを
大〓にアップさせる効果を持ちます解放したエインフェリアの力が
どの結晶に変化するかは
キャラクターのステータス次第です力の結晶の他にも
解放時の装備によって
手元に残されるものがあります例えば、剣を装備させたままだと
力の結晶に加えて
剣士の知識（STR）
が手に入りますただし装備品によっては
何も手に入らない事があります",,
649,26,codepage,846,23,<8084>0Release einherjar<808E>,"エインフェリアを解放します
（アクセサリー以外の装備品は失われます）",,
649,27,codepage,922,16,<8084>0<8088>1Warning<808E>,"〓 注意 〓
エインフェリアを解放した場合
パーティーの人数が名未満になります",,
649,28,codepage,1023,21,Configure the party.,パーティーを編成します,,
649,29,codepage,1044,19,Free an einherjar.,エインフェリアを解放します,,
649,30,codepage,1063,20,Select a character.,メンバーを選択します,,
649,31,codepage,1083,32,Select character to substitute.,入れ替えるメンバーを選択します,,
649,33,codepage,1116,16,<8099>RSwitch Char.,プレイヤー切替,,
649,35,codepage,1133,11,<8099>8<8099>9Page,ページ,,duplicate
649,37,codepage,1145,33,Hm? That's all you need from me?,あ 何 アタシってばお役御〓？,,
649,38,codepage,1178,45,Has the time come for me to leave your side?,"貴方の元を離れる時が
来たのですね…",,
649,39,codepage,1223,28,Do you wish me to be freed?,〓の解放を…望まれるのですか？,,
649,40,codepage,1251,48,"Freedom.
So we've fought together long enough?","解放か…
もうそんなに共に戦ったのね",,
649,41,codepage,1299,31,Will you free me from my fate?,〓を運命から解放してくれるの？,,
649,42,codepage,1330,42,So it's safe for me to be apart from you?,"アンタから離れても
もうアタシは大丈夫なのね？",,
649,43,codepage,1372,29,Is it time for me to go now?,貴方と離れる時が来たのですね,,
