scene,scene_line,resource,message_id,script_offset,voice_scene,voice_slot,audio_id,speaker,original_en,original_jp,translated,details,copy_status
1,1,1369,2740,5720,,,,Dog Rufus,The power of the gods.,これが…神の力…,,,
1,2,1369,2752,7448,,,,Dog Odin,Especially you!,わけても貴様にはな！！,,,
1,3,1369,2741,8004,,,,Dog Rufus,I feel it.,感じる…,,,
1,4,1369,2743,8572,,,,Dog Rufus,D'oh!,どわっ！,,,
1,5,1369,2742,8960,,,,Dog Odin,None shall lay hands upon it!,何人たりともそれに〓れる事は許さん！,,,duplicate
1,6,1369,2744,9712,,,,Dog Freya,Lord Odin!,オーディン様！,,,
1,7,1369,2745,9832,,,,Dog Freya,"The perversion I felt...
It's those two!",あの者達こそ歪んだ〓〓！,,,
1,8,1369,2746,10256,,,,Dog Odin,You green twit!,〓の貴様！,,,
1,9,1369,2747,10568,,,,Dog Odin,"And you, you little wench!",そっちの小娘！,,,
1,10,1369,2748,10888,,,,Dog Odin,"A lowly vessel trying to get it on
with a chick like that!? Arrogance!",器の分際でおなごとチ〓メチ〓メ！〓〓にも程があるっつーの！,,,
1,11,1369,2749,11780,,,,Dog Odin,"Undead imposter flouncing around in a miniskirt!
Where is your shame?",えせ不死者がミニスカふりふり〓顔極まりないっつーの！,,,
1,12,1369,2750,12640,,,,Dog Odin,"Using men and sneaking up here
with that plump astral body?",むっちん求デーに離脱して男を騙してここまで来ましたってか！,,,
1,13,1369,2751,12760,,,,Dog Odin,"Damn you!
You've crossed the line of decency!",貴様等…まさか超えてはならぬ一〓を超え…,,,
1,14,1369,2753,17852,,,,Dog Lezard,I've finally found you...,やっと追いつきました…,,,
1,15,1369,2754,18396,,,,Dog Lezard,"After my teleportation spell failed,
I sorta forgot about you guys for a while...",〓送方陣に失敗し長らく独り ツ求にはまっておりました…,,,
1,16,1369,2755,19076,,,,Dog Odin,...,………,,,duplicate
2,1,1369,2756,,,,,,EVENT_MAP,イベントマップ,,not displayed by the event script,duplicate
2,2,1369,2757,,,,,,Dog Rufus,犬ルーファス,,not displayed by the event script,duplicate
2,3,1369,2758,,,,,,Dog Odin,犬オーディン,,not displayed by the event script,primary
2,4,1369,2759,,,,,,Dog Freya,犬フレイ,,not displayed by the event script,duplicate
2,5,1369,2760,,,,,,Dog Lezard,犬レザード,,not displayed by the event script,duplicate
