scene,scene_line,resource,message_id,script_offset,voice_scene,voice_slot,audio_id,speaker,original_en,original_jp,translated,details,copy_status
1,1,1371,2745,3568,,,,Dog Silmeria,It's been a while.,…久しぶり,,,duplicate
1,2,1371,2740,4112,,,,Dog Silmeria,It's like looking in a mirror...,…〓を見ているよう,,,duplicate
1,3,1371,2741,4512,,,,Dog Silmeria,Alicia...you've changed.,あなた… 変わったわ…,,,duplicate
1,4,1371,2743,4800,,,,Dog Silmeria,Plumply.,むちっと,,,
1,5,1371,2744,5836,,,,Dog Silmeria,I see you can manipulate losers now.,バカを騙せるようになったのね,,,
1,6,1371,2746,10360,,,,Lord of the Undead,Silmeria!,シルメリア！,,,duplicate
1,7,1371,2747,11316,,,,Lord of the Undead,I feel <PART> mortal <PART> again.,また <PART> “死”を… <PART> 感じる <PART> ――,,,
2,1,1371,2749,,,,,,EVENT_MAP,イベントマップ,,not displayed by the event script,duplicate
2,2,1371,2750,,,,,,Dog Silmeria,犬シルメリア,,not displayed by the event script,
2,3,1371,2751,,,,,,Lord of the Undead,不死者王,,not displayed by the event script,duplicate
