scene,scene_line,resource,message_id,script_offset,voice_scene,voice_slot,audio_id,speaker,original_en,original_jp,translated,details,copy_status
1,1,83,4,1084,,,,Owner,"I've been to the ruins
up in the mountains. <PART>
---
They're an impressive sight, right
in the middle of nowhere. <PART>
---
There were monsters, so I couldn't go in.
Those ruins really are something. <PART>
---
Whoever built that place sure
knew what they were doing.",山の中の〓〓ってやつをワシも見に行った事があるんだがね <PART> 滅多に人が来ないような場所にひっそりと〓っていて そりゃ〓しかった <PART> まぁ 魔物が居て中には入れなかったがねあんな場所にあんな立派なもんがあったとは… <PART> あれを〓てた人々は もの凄い知〓と技術を持っていたんだろうねえ,,,
2,1,83,400,4824,,,,,Acquired <PART> OTH,OTH <PART> を手に入れた,,,duplicate
2,2,83,401,4952,,,,,Lost <PART> OTH,OTH <PART> を失った,,,duplicate
2,3,83,402,5080,,,,,"Money
 <PART> OTH",所持金 <PART> OTH,,,duplicate
3,1,83,2241,9280,,,,,ERRORv,ERROR！！（v190）,,,primary
3,2,83,2243,9416,,,,,ERRORv,ERROR！！（v191）,,,primary
3,3,83,2246,42780,,,,,ERRORv,ERROR！！（v191）,,,duplicate
3,4,83,2247,50896,,,,Lwyn,"Are you having some rough times? <PART>
---
Life is full of ups and downs.
Keep your chin up.",もしかして結構辛い目にあってたりする？ <PART> まあ ほら 人生山有り〓有りだしさあんまり思い詰めちゃダメよ,,,duplicate
3,5,83,2248,51004,,,,Jessica,"This village is very restful.
It has helped me find peace within myself. <PART>
---
Never had I thought I would be
granted another life.",この村は平和ですね荒んだ心が洗われていくようです <PART> まさか こうして再び生を得る事になろうとは思いもよりませんでしたが…,,,duplicate
3,6,83,2249,51112,,,,Richelle,"It is strange to be alive, when my life
has already ended once.",不思議ですね… こうしてまた息をしている私の生は 一度終えたはずですのに,,,duplicate
3,7,83,2250,51220,,,,Fraudir,"I am honored to have been chosen
by Lady Silmeria, <PART>
---
and to have been granted the chance
to fight beside you.",私は シルメリア様に選定していただけた事を <PART> アリーシャ王女と 共に戦えた事を〓りに思っています,,,duplicate
3,8,83,2251,51328,,,,Celes,"You are the only one who can choose your
own fate. That is what you must do now.",今を生きる貴方の手で 運命を切り開きなさい貴方にしか それはできない,,,duplicate
