scene,scene_line,resource,message_id,script_offset,voice_scene,voice_slot,audio_id,speaker,original_en,original_jp,translated,details
1,1,97,2,1216,,,,Townsperson,"An adventurer came through here the other day
with something from the Forest of Spirits. <PART> ---
Enter that forest and you'll end up either
lost or chased out by elves. <PART> ---
I don't know what the gods have them guarding,
but would it kill them to share the wealth?",この間 〓しい品を持ってきた〓〓者がいました何でもあの精霊の森で〓ったとか… <PART> あそこの森に入ろうとすると必ず迷うかあのエルフとやらに追い出されてしまうでしょう？ <PART> 神の代わりに何を守ってるんだか知りませんが少しくらい宝を分けてくれてもいいのにねえ,,
1,2,97,3,1308,,,,Townsperson,"Is there no such thing as a male elf?
All you ever hear about are the female ones!",エルフって男性はいないんでしょうかね？噂に上るのは皆女性ばかりで…,,
1,3,97,4,1848,,,,Townsperson,"Something happened over by Dipan.
Do you travelers know anything about it?",あのディパンで何かあったらしいですねあなた〓〓者でしょう？ 何か知りません？,,
1,4,97,5,2060,,,,Townsperson,"Crell Monferaigne is all high and mighty,
saying Dipan deserved to be destroyed. <PART> ---
Dipan had held them in check from
further expanding their borders. <PART> ---
I'll bet they use this as an opportunity
to wage war on foreign lands.",クレルモンフェランは ディパンは滅んで当たり前と意気〓々でした <PART> 今まで領土を広げたくともディパンに〓さえつけられてましたからね <PART> これを機に 一気に他国に戦争を仕掛けるかもしれません…,,
1,5,97,6,2152,,,,Townsperson,"The lords of Villnore have been holding
discussions day and night in the castle.",ヴィルノア城では 〓〓通して〓〓達がこれからの事を話し合っているそうです,,
1,6,97,7,2800,,,,Townsperson,"Wh-what am I going to do?
They might start drafting soldiers soon! <PART> ---
I'd leave Villnore for somewhere else,
but everywhere you go, it's the same!",ど どうしましょう…近々〓兵を始めるかもしれないとの情報が… <PART> ここはヴィルノアを出て別の街に行くべきか…いやいや 今はどこも同じような状況だし…,,
1,7,97,8,2892,,,,Townsperson,"What does the future hold for the continent?
I shudder to think of it...",これからこの大陸はどうなるのか…不安でじっとしていられません…,,
1,8,97,9,3016,,,,Townsperson,"People believe that if you post that charm
on your house, it will bring good steel. <PART> ---
Among the founders of Villnore
was a woman named Circe. <PART> ---
Though she was a warrior by trade, she was
renowned for being a genius blacksmith. <PART> ---
It was said her swords cleaved stones
and her armor repelled arrows. <PART> ---
A fellow founder, the warrior Kraad, used
these to achieve great success in battle. <PART> ---
Circe grew up in the mines near here,
which is how this place came to be.",そのお守りを家に〓っておけば 良い鉄が取れると言われているんですよ <PART> 昔 ヴィルノア〓国の立役者となったキルケという女性が居たんですが… <PART> その人は 戦士でありながら天〓とも呼ばれる〓〓だったんです <PART> 彼女の作った〓剣は〓をも切断し〓は〓を〓き返したと伝えられています <PART> 同じ〓国の雄 戦士クラッドはそれにより素〓らしい武功を立てたとか <PART> その彼女の出身が この付近の〓山だったのでねそれにあやかって…という所です,,
1,9,97,20,3344,,,,,"Changing Targets <PART> In battle, the target of the character's attack
can be changed.
This is referred to as <PART> Changing Targets <PART> . <PART> --- <PART> Changing Targets <PART> To change targets, first use <PART> Y.
The new target can then be selected.
This comes in especially handy for non-enemy
targets on a battlefield, such as pillars.",〓戦術指〓〓〓 <PART> ターゲット〓〓について <PART> 〓と戦う〓に定められた〓いは、自らの手で〓〓する事ができる。〓れを <PART> ターゲット〓〓 <PART> という。 <PART> 〓戦術指〓〓〓 <PART> ターゲット〓〓について <PART> ターゲットを〓〓するには、 <PART> を〓うといい〓〓う。 そうすれば、〓の〓思で〓の〓に〓いを定める事が〓〓となる。〓に〓〓外の〓〓、〓えば戦場にある〓などの〓〓物を〓〓する場〓は、役に〓つ〓〓う。,,
1,10,97,19,3400,,,,,"Magic Attributes <PART> Magic has several attributes.
Fire Considerably affected by
caster's MAG and target's RST.
Ice Controlled by caster's LV,
mostly unaffected by target's RST. <PART> --- <PART> Magic Attributes <PART> Earth No particular strong or
weak points Standard magic.
Lightning Not very strong, but
often produces critical hits.
Holy Vastly affected by caster's
MAG and target's RST.
Dark Controlled by caster's LV,
barely affected by target's RST. <PART> --- <PART> Magic Attributes <PART> To become a true sorcerer, you must
understand these attributes and master
several attack magics.
Those who cannot are not worthy of
being called sorcerers.",〓戦術指〓〓〓 <PART> 魔法の〓〓について <PART> 魔法には、〓々な〓〓が存在する。  〓術〓術者の〓〓〓と〓の〓〓〓に     大きく〓〓する 〓術〓術者の〓〓に〓〓され、〓の     〓〓〓の〓〓は〓ない <PART> 〓戦術指〓〓〓 <PART> 魔法の〓〓について <PART> 〓術〓〓手も不〓手も〓ない     〓〓〓な魔法 〓術〓〓力に〓があるが、     クリティカル〓ットになりやすい 聖術〓術者の〓〓〓と〓の〓〓〓に     〓常に大きく〓〓される 〓術〓術者の〓〓に〓〓され、     〓の〓〓〓の〓〓は〓常に〓ない <PART> 〓戦術指〓〓〓 <PART> 魔法の〓〓について <PART> 〓の魔法〓いとなるには、〓れらの〓〓を〓〓し、〓〓の魔法を〓い〓なす事が〓〓である。それをでき〓者は魔法〓いを〓〓るに〓しない。,,
1,11,97,18,3456,,,,,"Elements <PART> There are four natural elements
fire, ice, lightning, and earth.
Beyond these, there are also the
magic elements, holy and dark. <PART> --- <PART> Elements <PART> The fire techniques are effective against
monsters weak against heat, while ice
works well against fire-element monsters.
Earth techniques bearing poison are
powerful against living organisms, while
lightning strikes metal monsters hard. <PART> --- <PART> Elements <PART> Knowing the characteristics of your
enemy, and the appropriate elements to
attack with, can be a great advantage
in battle.",〓戦術指〓〓〓 <PART> 属〓について <PART> 属〓とは〓〓〓〓〓〓〓〓〓〓〓〓という〓の自然の力である。そして〓れらのつの〓なる上位に〓聖〓と〓〓〓と〓ばれる属〓の魔法が存在する。 <PART> 〓戦術指〓〓〓 <PART> 属〓について <PART> 火を生み出す〓術は〓に〓い魔物を〓〓とし、水を〓る〓術は火属〓の魔物によく〓くであ〓う。 〓を生み出す〓術は生〓〓に絶大な〓果を持〓、〓〓を〓〓〓つ〓術は金属〓の魔物に〓果が高い。 <PART> 〓戦術指〓〓〓 <PART> 属〓について <PART> 〓である魔物の〓〓を〓〓し、〓〓な属〓によって〓〓をすれば、戦〓を〓利に〓める事が〓〓となる。,,
1,12,97,17,3512,,,,,"Dashing <PART> Swift movement is the key to combat.
Whether or not you master <PART> dashing <PART> may decide
the outcome of the battle.
Dash by using <PART> X. <PART> --- <PART> Dashing <PART> There are three types of dash.
Quickly press <PART> X to move a short distance,
hold it down to move a long distance, or
press it twice to move a medium distance. <PART> --- <PART> Dashing <PART> Moreover, eliminate dash recovery time by
attacking while still in motion.
This is called <PART> dash canceling <PART> .",〓戦術指〓〓〓 <PART> ダッシュについて <PART> 素〓い〓動は戦〓において〓よりの〓となる。神〓の〓動、 <PART> ダッシュ <PART> を〓い〓な〓るかどうかで、〓〓の〓方は大きく〓わるであ〓う。ダッシュは <PART> で発動する事が〓〓である。 <PART> 〓戦術指〓〓〓 <PART> ダッシュについて <PART> ダッシュで〓動できる〓〓には〓〓ある。 <PART> を〓く〓〓ば〓〓〓の〓動が、長く〓〓ば長〓〓の〓動が、素〓く〓〓続して〓〓ば中〓〓の〓動が〓〓である。 <PART> 〓戦術指〓〓〓 <PART> ダッシュについて <PART> 〓に、ダッシュの〓〓から〓まる事なく、そのまま流れるように〓〓に〓る事で、仲間が〓地する〓の〓を〓くす事が〓〓となる。〓れを <PART> ダッシュキャンセル <PART> と〓ぶ。,,
