resource,message_id,kind,offset,byte_length,original_en,original_jp,translated,copy_status
643,1,codepage,0,4,Yes,はい,Sim,duplicate
643,0,codepage,0,4,Yes,はい,Sim,primary
643,2,codepage,4,3,No,いいえ,Não,primary
643,3,codepage,7,5,Menu,メニュー,Menu,
643,4,codepage,12,6,Items,アイテム,Items,primary
643,5,codepage,18,11,Sealstones,封印石,Sealstones,primary
643,6,codepage,29,6,Party,パーティー,Grupo,primary
643,7,codepage,35,7,Status,ステータス,Status,primary
643,8,codepage,42,9,Settings,環境設定,Configurações,primary
643,9,codepage,51,5,Data,データ,Dados,primary
643,10,codepage,56,6,Items,アイテム,Items,duplicate
643,11,codepage,62,6,Equip,装備,Equip,duplicate
643,12,codepage,68,7,Skills,スキル,Skills,primary
643,13,codepage,75,8,Attacks,通常攻撃,Ataques,duplicate
643,14,codepage,83,11,Sealstones,封印石,Sealstones,duplicate
643,15,codepage,94,6,Party,パーティー,Grupo,duplicate
643,16,codepage,100,7,Status,ステータス,Status,duplicate
643,17,codepage,107,9,Settings,環境設定,Configurações,duplicate
643,18,codepage,116,5,Data,データ,Dados,duplicate
643,19,codepage,121,6,Items,アイテム,Items,duplicate
643,20,codepage,127,6,Equip,装備,Equip,duplicate
643,21,codepage,133,7,Skills,スキル,Skills,duplicate
643,22,codepage,140,8,Attacks,通常攻撃,Ataques,duplicate
643,23,codepage,148,6,Party,パーティー,Grupo,duplicate
643,24,codepage,154,7,Status,ステータス,Status,duplicate
643,25,codepage,161,9,Settings,環境設定,Configurações,duplicate
643,26,codepage,170,5,Data,データ,Dados,duplicate
643,27,codepage,175,4,Use,使う,Usar,
643,28,codepage,179,10,Equipment,装備品,Equipamento,duplicate
643,29,codepage,189,10,Accessory,アクセサリー,Acessório,duplicate
643,30,codepage,199,6,Other,その他,Outros,duplicate
643,31,codepage,205,9,Precious,貴重品,Precioso,
643,32,codepage,214,8,Holding,所持,Holding,
643,33,codepage,222,5,List,一覧,Lista,
643,34,codepage,227,6,Guide,説明,Guia,
643,35,codepage,233,10,Configure,編成,Configure,
643,36,codepage,243,10,Free Soul,解放,Free Soul,
643,37,codepage,253,10,Abilities,能力値,Habilidades,
643,38,codepage,263,10,Equipment,装備品,Equipamento,duplicate
643,39,codepage,273,7,Skills,スキル,Skills,duplicate
643,40,codepage,280,8,Attacks,通常攻撃,Ataques,duplicate
643,41,codepage,288,7,Spells,魔法,Magias,duplicate
643,42,codepage,295,8,Profile,プロフィール,Perfil,
643,43,codepage,303,11,Background,経歴,Background,
643,44,codepage,314,5,Game,ゲーム,Jogo,
643,45,codepage,319,12,Environment,環境,Ambiente,
643,46,codepage,331,9,Controls,コントローラ,Controles,
643,47,codepage,340,7,Change,設定,Mudar,
643,48,codepage,347,5,Undo,元に戻す,Desfazer,
643,49,codepage,352,8,Default,デフォルト,Padrão,duplicate
643,50,codepage,360,5,Save,セーブ,Salvar,
643,51,codepage,365,5,Load,ロード,Carregar,
643,52,codepage,370,11,Use items.,アイテムを使います,Usar items.,
643,53,codepage,381,18,Change equipment.,装備を変更します,Mudar equipamento.,
643,54,codepage,399,12,Set skills.,スキルをセットします,Definir habilidades.,
643,55,codepage,411,20,Set normal attacks.,通常攻撃技をセットします,Definir ataques normais.,
643,56,codepage,431,27,See sealstone information.,封印石の情報を確認します,Ver informações de sealstone.,
643,57,codepage,458,23,Reconfigure the party.,パーティーを編成します,Reconfigurar grupo.,
643,58,codepage,481,24,Check character status.,ステータスを確認します,Verificar status do personagem.,
643,59,codepage,505,22,Adjust game settings.,ゲーム環境を設定します,Ajustar configurações do jogo.,
643,60,codepage,527,21,Save/load game data.,ゲームデータをセーブ・ロードします,Salvar<001A>carregar dados de jogo.,
643,62,codepage,549,11,<8099>8<8099>9Page,ページ,<8099><0009><8099><000A>Página,primary
643,63,codepage,560,2,:,〓,,duplicate
643,64,codepage,562,3,HP,HP,,duplicate
643,65,codepage,565,5,Next,NEXT,Próximo,duplicate
