scene,scene_line,resource,message_id,script_offset,voice_scene,voice_slot,audio_id,speaker,original_en,original_jp,translated,details
1,1,1277,1,3376,320,0,,Rufus,It's here.,あったぞ！,Está aqui!,
1,2,1277,2,4476,320,1,,Rufus,This is it <PART> ---- <PART> the Dragon Orb.,…これが ドラゴンオーブ…,Aqui está <PART> ---- <PART> o Orbe do Dragão.,
1,3,1277,3,6168,320,2,,Dylan,Well...,さあ…,Então...,
1,4,1277,4,6312,320,3,,Silmeria,Right.,…ああ,Sim.,
1,5,1277,5,12916,320,4,,Silmeria,!,！,!,
1,6,1277,6,14836,320,5,,Dylan,Leone?,レオーネ！？,Leone?,
2,1,1277,43,28900,320,6,,Leone,The orb belongs to Odin!,オーブはオーディン様の物 <PART> 一一,O orbe pertence a Odin!,
2,2,1277,7,29176,320,7,,Leone,Don't make me kill Alicia!,私にアリーシャを殺させないで,Não me faça matar Alicia!,
2,3,1277,8,30132,320,8,,Alicia,So it was all a lie.,…嘘だったんですね,Então era tudo mentira.,
2,4,1277,9,31892,320,10,,Alicia,"( Is this what you warned me about, Silmeria? )",（ こういう事だったのね シルメリア… ）,"( Era disso que você me avisou, Silmeria? )",
2,5,1277,10,32216,320,11,,Alicia,"( I'm sorry, I should have realized... )",（ ごめんなさい 気づかなくて… ）,"( Desculpe, eu deveria ter percebido... )",
2,6,1277,11,34384,320,12,,Arngrim,"Leone, what're you doing?",貴様 どういう事だ！？,"Leone, o que você está fazendo?",
2,7,1277,12,36404,320,13,,Dylan,Hrist Valkyrie!?,…アーリィ・ヴァルキュリア！？,Hrist Valquíria!?,
2,8,1277,13,38528,320,14,,Arngrim,So you tricked me!?,俺を騙してたのかッ！？,Então você estava me enganando!?,
2,9,1277,14,38816,320,15,,Hrist,"Be thankful you could assist in the
gods' plans.",神の務めに同行させてやったまでだ,Agradeça por poder ajudar nos planos dos deuses.,
2,10,1277,15,39816,320,16,,Arngrim,Thankful!?,クソッ！,Agradecer!?,
2,11,1277,16,40480,320,17,,Dylan,Stop!,よせ！,Pare!,
2,12,1277,17,40744,320,18,,Silmeria,"No, wait!",早まるなッ！,"Não, espere!",
3,1,1277,44,45436,320,19,,Arngrim,Uaaagh!,…どわッ！,Uaaagh!,
4,1,1277,18,49996,320,21,,Arngrim,"When I know my boss is gonna wrong me,
I don't hesitate to right it!",雇い主に明らかな非があれば俺は躊躇なく戒める…,"Se meu chefe vai me passar a perna, não hesito em acertar as contas!",
4,2,1277,19,50416,320,22,,Arngrim,That's the mercenary way.,…傭兵だからな,O jeito do mercenário.,
4,3,1277,20,50740,320,23,,Hrist,"Arngrim, come with me.",アリューゼよ 共に逝くか？,"Arngrim, venha comigo.",
4,4,1277,21,51472,320,24,,Hrist,That will be your reward.,それが私からの謝礼だ,Essa será a sua recompensa.,
4,5,1277,22,51760,320,25,,Arngrim,You kidding me? Why would I go with you?,冗談じゃねぇ… 誰が貴様なんかと…,Você está de brincadeira? Por que eu iria com você?,
4,6,1277,23,52340,320,26,,Silmeria,We will take Arngrim.,アリューゼは私が預かるわ,Vamos levar Arngrim.,
4,7,1277,24,52460,320,27,,Silmeria,"You can subdue his flesh by force, but
you won't be able to bind his spirit.",力で肉体をねじ伏せても心を縛り続ける事はできないはずよ,"Você pode subjugar a carne dele pela força, mas não conseguirá prender o espírito dele.",
4,8,1277,25,52736,320,28,,Hrist,"Lenneth might agree to that, but I take
my orders from Odin, and no-one else.",レナスならそれで納得するだろうが私はオーディン様の命を第一に考える,"Lenneth poderia concordar, mas eu obedeço apenas a Odin.",
