scene,scene_line,resource,message_id,script_offset,voice_scene,voice_slot,audio_id,speaker,original_en,original_jp,translated,details,copy_status
1,1,1237,21,2572,160,0,,Rufus,!,！,,,duplicate
2,1,1237,2,5428,160,3,,Hrist,"You needn't even encourage them. Dipan
is fully intent on fighting Lord Odin.",お前が〓きつけるまでもなくディパンはオーディン様と戦うつもりだ,,,
2,2,1237,3,6124,160,4,,Hrist,"They'll even use the Dragon Orb,
a forbidden act!",それもドラゴンオーブという〓じ手を使って…,,,
2,3,1237,16,6904,160,6,,Hrist,"Silence, mortal!
You will speak when I ask you to!",〓えよ 人間！お前には聞いてない！,,,
2,4,1237,5,7836,160,7,,Hrist,"But if Silmeria refuses to respond,
I have no choice...",でもシルメリアが出てこないのなら仕方ない…,,,
2,5,1237,7,10588,160,10,,Alicia,!,！,,,duplicate
2,6,1237,8,12264,160,11,,Hrist,"You are worthy indeed, mighty warriors.",ふむ… 最強戦士としての〓〓は〓分だな,,,
2,7,1237,18,12716,160,12,,Hrist,"I will take all of you together with me
to Valhalla.",みんなまとめて ヴァルハラヘ連れて行ってやろう,,,
2,8,1237,11,14932,160,16,,Hrist,You've been poisoned by mortal arrogance.,人間の思い上がりに毒されるとは…,,,
2,9,1237,12,15468,160,17,,Hrist,"The peace and prosperity of Midgard
exist because the gods wrought law upon
the land.",力ある神が統治して来たからこそ今のミッドガルドの〓栄と〓序がある,,,
2,10,1237,19,19112,160,20,,Silmeria,"Why won't you help save Dipan? Help save
Alicia!",ディパンを… アリーシャを助けてあげてほしい…,,,
2,11,1237,20,19688,160,21,,Hrist,"Think like a valkyrie! Do not concern
yourself with a single country or one
mere mortal!",ヴァルキリーらしく大局的に物事を見ろ！たかが国一つ 人一人に心惑わされるな,,,
2,12,1237,15,28120,160,23,,Hrist,It would appear I underestimated you.,お前を甘く見すぎていたようだな,,,
2,13,1237,6,37184,160,9,,Hrist,It's up to you.,―― <PART> お前次第だ,,,
2,14,1237,9,39572,160,13,,Silmeria,Dipan does not fight because it wants to.,ディパンは戦いたくて戦うのではない,,,
2,15,1237,1,41728,160,2,,Hrist,Silmeria. Now do you see?,シルメリア わかっただろう？,,,
