scene,scene_line,resource,message_id,script_offset,voice_scene,voice_slot,audio_id,speaker,original_en,original_jp,translated,details,copy_status
1,1,1159,6,3968,,,,Adventurer,"Monsters lurk beyond here. If you don't
want to fight, you'd best avoid contact. <PART>
---
There are several ways to do this, but each
monster type has its own trick. <PART>
---
For instance, time a jump correctly to leap
over monsters that crawl on the ground. <PART>
---
The flying spirit-type monsters close in by
disappearing and reappearing, so look out! <PART>
---
You can't jump over the ones with wings,
so you'll need to sneak underneath them. <PART>
---
Of course, the best thing to do is
stop them in their tracks...",貴方 この先に進む気？ 敵が結構いるわよ戦いたくなければ 〓〓を〓けた方が良いわね <PART> 〓〓の〓け方は色々あるけど〓〓によってはちょっとコツがいるの <PART> 例えば 地面を〓っているヤツはタイミングを合わせて〓び〓えれば大丈夫 <PART> 空を〓んでいる亡霊のようなヤツは 消えたり現れたりしながら近付いて来るから要注意ね <PART> 〓の生えたヤツは〓び〓えられないから上手く下を潜るしかないわ <PART> どうにかして動きを止められるならそれが一番なんだけど…,"Há monstros além daqui. Se não quiser lutar, melhor evitar o contato. <PART>
---
Há várias formas de fazer isso, mas cada tipo de monstro tem seu truque. <PART>
---
Por exemplo, cronometre um salto para passar por cima dos monstros que rastejam no chão. <PART>
---
Os monstros espirituais voadores vêm chegando ao sumir e reaparecer, então fique atento! <PART>
---
Você não pode saltar sobre os que têm asas, então terá que se esgueirar por baixo deles. <PART>
---
Claro, o melhor a fazer é pará-los onde estiverem...",,
1,2,1159,7,4060,,,,Adventurer,"There's nothing wrong with fighting <PART> ---- <PART> it's
just better to save your energy sometimes.",戦うのも良いけど 体力〓存を考えれば〓けた方が得な事もあるわよ,"Lutar não tem nada de errado<PART> ---- <PART>
é que às vezes é melhor poupar suas energias.",,
1,3,1159,8,8320,,,,,ERRORv,ERROR！！（v190）,,,primary
1,4,1159,10,8456,,,,,ERRORv,ERROR！！（v191）,,,duplicate
1,5,1159,13,41820,,,,,ERRORv,ERROR！！（v191）,,,duplicate
1,6,1159,14,49936,,,,Lwyn,"Are you having some rough times? <PART>
---
Life is full of ups and downs.
Keep your chin up.",もしかして結構辛い目にあってたりする？ <PART> まあ ほら 人生山有り〓有りだしさあんまり思い詰めちゃダメよ,"Está passando por momentos difíceis?<PART>
---
A vida é cheia de altos e baixos.
Não desanime.",,duplicate
1,7,1159,15,50044,,,,Jessica,"This village is very restful.
It has helped me find peace within myself. <PART>
---
Never had I thought I would be
granted another life.",この村は平和ですね荒んだ心が洗われていくようです <PART> まさか こうして再び生を得る事になろうとは思いもよりませんでしたが…,"Esta vila é muito sossegada.
Ajudou-me a encontrar paz interior.<PART>
---
Jamais pensei que me seria concedida outra vida.",,duplicate
1,8,1159,16,50152,,,,Richelle,"It is strange to be alive, when my life
has already ended once.",不思議ですね… こうしてまた息をしている私の生は 一度終えたはずですのに,"É estranho estar viva, quando minha vida já terminou uma vez.",,duplicate
1,9,1159,17,50260,,,,Fraudir,"I am honored to have been chosen
by Lady Silmeria, <PART>
---
and to have been granted the chance
to fight beside you.",私は シルメリア様に選定していただけた事を <PART> アリーシャ王女と 共に戦えた事を〓りに思っています,"Sinto-me honrado por ter sido escolhido por Lady Silmeria,<PART>
---
e por ter recebido a chance de lutar ao seu lado.",,duplicate
1,10,1159,18,50368,,,,Celes,"You are the only one who can choose your
own fate. That is what you must do now.",今を生きる貴方の手で 運命を切り開きなさい貴方にしか それはできない,Só você pode escolher seu próprio destino. É o que deve fazer agora.,,duplicate
1,11,1159,19,50476,,,,Crescent,"You again?
Don't you have anything to do? <PART>
---
Did you come in hopes of a gift?
...Let me think about it.",何よ また来たの？アンタも結構暇ね～ <PART> もしかして 何か貫えるかもって期待してる？う～ん… どうしよっかな～,"Você de novo?
Não tem nada pra fazer?<PART>
---
Veio na esperança de ganhar um presentinho?
...Vou pensar a respeito.",,duplicate
1,12,1159,20,50584,,,,Sylphide,"My days are quiet and peaceful. <PART>
---
I never thought that I would have
the chance to live like this. <PART>
---
",今は穏やかな暮らしを送っております <PART> この私が このような安らかな日々を迎えられるとは思いませんでした,"Meus dias são calmos e pacíficos.<PART>
---
Nunca pensei que teria a chance de viver assim.<PART>
---
",,duplicate
