resource,message_id,kind,offset,byte_length,original_en,original_jp,translated,copy_status
645,1,codepage,0,6,Equip,装備,Equip,duplicate
645,0,codepage,0,6,Equip,装備,Equip,primary
645,2,codepage,6,7,Weapon,WEAPON,Arma,primary
645,3,codepage,13,5,Head,HEAD,Cabeça,primary
645,4,codepage,18,5,Body,BODY,Corpo,primary
645,5,codepage,23,5,Arms,ARM,Braços,primary
645,6,codepage,28,5,Legs,FEET,Pernas,primary
645,7,codepage,33,7,Acc. 1,ACC 1,Aces.1,primary
645,8,codepage,40,7,Acc. 2,ACC 2,Aces.2,primary
645,9,codepage,47,7,Acc. 3,ACC 3,Aces.3,primary
645,10,codepage,54,7,Acc. 4,ACC 4,Aces.4,primary
645,11,codepage,61,9,(Remove),〓はずす〓,(Tirar),primary
645,12,codepage,70,7,Weapon,武器,Arma,duplicate
645,13,codepage,77,7,Helmet,頭装備,Elmo,
645,14,codepage,84,8,Cuirass,〓装備,Peitoral,primary
645,15,codepage,92,8,Armwear,腕装備,Braçad.,
645,16,codepage,100,8,Legwear,足装備,Grevas,
645,17,codepage,108,10,Accessory,アクセサリー,Acessório,duplicate
645,18,codepage,118,5,Qty.,数,Qtd.,duplicate
645,19,codepage,123,5,Sort,ソート,Ordenar,duplicate
645,20,codepage,128,7,Newest,新〓入手,Novo,duplicate
645,21,codepage,135,4,ABC,名前〓,ABC,duplicate
645,22,codepage,139,5,Type,種類〓,Tipo,duplicate
645,23,codepage,144,11,Rune (Red),ルーン〓赤〓〓,Runa (Vermelha),duplicate
645,24,codepage,155,12,Rune (Blue),ルーン〓青〓〓,Runa (Azul),duplicate
645,25,codepage,167,13,Rune (Green),ルーン〓緑〓〓,Runa (Verde),duplicate
645,26,codepage,180,10,Rune (No),ルーン〓無〓〓,Sem Runa,duplicate
645,27,codepage,190,13,Attack Power,攻撃力〓,Poder de Ataque,duplicate
645,28,codepage,203,12,Magic Power,魔力〓,Poder Mágico,duplicate
645,29,codepage,215,9,Hit Rate,命中率〓,Taxa de Acerto,duplicate
645,30,codepage,224,6,Avoid,回避率〓,Esquiva,duplicate
645,31,codepage,230,14,Reduce Damage,物理耐性〓,Reduzir Dano,duplicate
645,32,codepage,244,13,Magic Resist,魔法耐性〓,Resistência Mágica,duplicate
645,33,codepage,257,14,Skill formed!,スキルが発生〓,Hab. formada!,
645,34,codepage,271,17,Skill destroyed.,スキルが消滅,Hab. destruída.,
645,35,codepage,288,13,Status Skill,ステータススキル,Status,duplicate
645,36,codepage,301,13,Attack Skill,アタックスキル,Ataque,duplicate
645,37,codepage,314,14,Defense Skill,ディフェンススキル,Defesa,duplicate
645,38,codepage,328,15,Critical Skill,クリティカルスキル,Crítica,duplicate
645,39,codepage,343,15,Reaction Skill,リアクシヨンスキル,Reação,duplicate
645,40,codepage,358,15,Change weapon.,武器を変更します,,
645,41,codepage,373,15,Change helmet.,頭装備を変更します,,
645,42,codepage,388,16,Change cuirass.,〓装備を変更します,,
645,43,codepage,404,16,Change armwear.,腕装備を変更します,,
645,44,codepage,420,16,Change legwear.,足装備を変更します,,
645,45,codepage,436,20,Change accessories.,アクセサリーを変更します,,
645,46,codepage,456,29,Place newly acquired at top.,新しく入手した物を先頭に並び替えます,,duplicate
645,47,codepage,485,31,Arrange in alphabetical order.,名前〓に並び替えます,,duplicate
645,48,codepage,516,17,Arrange by type.,種類〓に並び替えます,,duplicate
645,49,codepage,533,26,Place runes (red) at top.,ルーン〓赤〓を先頭に並び替えます,,duplicate
645,50,codepage,559,27,Place runes (blue) at top.,ルーン〓青〓を先頭に並び替えます,,duplicate
645,51,codepage,586,28,Place runes (green) at top.,ルーン〓緑〓を先頭に並び替えます,,duplicate
645,52,codepage,614,31,Place runes (no color) at top.,ルーン〓無〓を先頭に並び替えます,,duplicate
645,53,codepage,645,25,Arrange by attack power.,攻撃力〓に並び替えます,,duplicate
645,54,codepage,670,24,Arrange by magic power.,魔力〓に並び替えます,,duplicate
645,55,codepage,694,21,Arrange by hit rate.,命中率〓に並び替えます,,duplicate
645,56,codepage,715,25,Arrange by evasion rate.,回避率〓に並び替えます,,duplicate
645,57,codepage,740,31,Arrange by physical tolerance.,物理耐性〓に並び替えます,,duplicate
645,58,codepage,771,29,Arrange by magic resistance.,魔法耐性〓に並び替えます,,duplicate
645,59,codepage,800,24,Check unlearned skills.,未習得のスキルを確認します,,
645,60,codepage,824,31,Display equipment explanation.,装備についての説明を表示します,,
645,61,codepage,855,30,"<8099>RSkill <8099>-<8099>+Char. <8099>""Expl.",スキル キャラ 説明,,
645,62,codepage,885,28,<8099>QSort <8099>RSkill <8099>8<8099>9Page,ソート スキル ページ,,
645,63,codepage,913,11,<8099>8<8099>9Page,ページ,,duplicate
645,64,codepage,924,30,<8099>2<8099>3Switch Skill <8099>8<8099>9Page,スキル切替 ページ,,duplicate
645,65,codepage,954,18,<8099>2<8099>3Switch Page,ページ切り替え,,
645,66,codepage,972,18,1. Viewing Status,.  ステータスの見方について,,
645,67,codepage,990,19,2. Equipment Types,.  装備品の種類について,,
645,68,codepage,1009,9,3. Links,.  リンクについて,,
645,69,codepage,1018,9,4. Runes,.  ルーンについて,,
645,70,codepage,1027,19,5. Learning Skills,.  スキルの覚え方について,,
645,71,codepage,1046,2,/,／,,duplicate
645,72,codepage,1048,82,"The status numbers displayed on the upper-right
indicate character capabilities.","画面右上に表示されている数字が
ステータスです。
キャラクターの能力を表しています。",,
645,73,codepage,1130,3,<808C>,"〓〓〓〓攻撃力、〓〓〓〓回避率、
〓〓〓〓魔力、 〓〓〓〓物理耐性、
〓〓〓〓命中率、〓〓〓〓魔法耐性、
をそれ〓れ示しています。",,primary
645,74,codepage,1314,86,"Set equipment for 9 places: weapon, head, body,
arms, legs, and 4 additional places.","装備は、武器、頭、体、腕、足、
アクセサリー〓所の計〓所に、
それ〓れ対応する装備品を
セットする事ができます。",,
645,75,codepage,1400,115,"In addition to one- and two-handed types, there are
4 color types of equipment: red, blue, green,
and colorless.","装備品には、片手剣、両手剣といった種類の
他に、それ〓れ『色属性』があります。
『色属性』は赤、青、緑、無色の計種類です。",,
645,76,codepage,1515,89,"Equip items of the same color adjacently and
the boxes flash.

This is called a link.","同じ色の装備品が隣り合うと、
右側の装備品の枠が光ります。
これを『リンク』といいます。",,
645,77,codepage,1604,53,"When linked, effects of the equipment are
enhanced.","装備品の中には、リンクしている状態になると
『効果』が強化されるものがあります。",,
645,78,codepage,1657,58,"The more equipment linked, the stronger
the enhancement.","リンクしている装備品の数が増えるほど、
強化される〓合も増加します。",,
645,79,codepage,1715,61,"Gather like-colored equipment for greater
enhanced effects.","装備品を同色で〓えれば、装備品の効果を
より強化する事が可能です。",,
645,80,codepage,1776,103,"Besides color type, equipment also has a rune
attribute.

Runes are responsible for forming skills.","装備品は、色属性の他に
『ルーン』という属性も持ちます。
ルーンは、スキルを発生させるのに
重要な役〓を果たします。",,
645,81,codepage,1879,93,"Rune attributes are present in red, green, and
blue equipment, but not colorless equipment.","ルーン属性が存在するのは、
赤、青、緑の装備品です。
無色の装備品には存在しません。",,
